
name,gender,region,birthplace,birthday,school,background
乙晓光,男,汉族,江苏省宿迁市,1958年6月,空军保定学校,军人
丁来杭,男,汉族,浙江省杭州市,1957年9月,空军第九航空学校,军人
丁学东,男,汉族,江苏省常州市,1960年2月,中南财经政法大学,财政学
丁薛祥,男,汉族,江苏南通,1962年9月,复旦大学,行政管理
于伟国,男,汉族,山东威海,1955年10月,中国人民大学,中国文学
于忠福,男,汉族,山东莱阳市,1956年7月,华中师范大学,军人
万立骏,男,汉族,辽宁大连,1957年7月,大连理工大学.日本东北大学,工学博士
习近平,男,汉族,陕西富平,1953年6月,清华大学,法学博士
马飚,男,壮族,广西田阳,1954年8月,中央民族学院,政治经济学
马兴瑞,男,汉族,山东郓城,1959年10月,哈尔滨工业大学,工学博士
王宁,男,汉族,山东荣成,1955年8月,,军人
王军,男,汉族,河南商丘,1958年11月,北京大学,法学博士
王勇,男,汉族,辽宁盖州,1955年12月,哈尔滨工业大学,工学硕士
王晨,男,汉族,北京市,1950年12月,中国社会科学院,文学硕士
王毅,男,汉族,北京人,1953年10月,北京第二外国语学院,经济学硕士.国际关系学博士
王小洪,男,汉族,福建福州,1957年7月,中央党校,经济管理
王玉普,男,汉族,辽宁新民,1956年10月,中国石油大学,工学博士
王正伟,男,回族,宁夏同心,1957年6月,中央民族大学,法学博士
王东明,男,汉族,辽宁宽甸,1956年7月,中央党校.辽宁大学,哲学学士
王东峰,男,汉族,陕西西安,1958年2月,西安交通大学,经济学硕士
王尔乘,男,汉族,辽宁丹东,1955年10月,北京师范大学.中欧国际工商学院,工商管理硕士
王志民,男,汉族,福建仙游,1957年4月,福建师范大学,经济学博士
王志刚,男,汉族,安徽定远,1957年10月,西北电讯工程学院,信息论专业
王沪宁,男,汉族,山东莱州,1955年10月,复旦大学,法学硕士
王国生,男,汉族,山东东阿,1956年5月,山东大学.山东省委党校,政治学专业
王建军,男,汉族,湖北十堰,1958年6月,中央党校,研究生学历
王建武,男,汉族,河南洛宁,1958年8月,,
王晓东,男,汉族,江西信丰,1960年1月,中央党校,哲学学士
王晓晖,男,汉族,吉林省长岭县,1962年,吉林大学,法学硕士
王家胜,男,汉族,辽宁辽阳,1955年1月,国防科学技术大学,电子技术
王蒙徽,男,汉族,江苏盐城,1960年1月,清华大学,工学博士
尤权,男,汉族,河北卢龙,1954年1月,中国人民大学,经济学硕士
车俊,男,汉族,安徽巢湖,1955年7月,中央党校,中央党校大学学历
尹力,男,汉族,山东临邑,1962年8月,俄罗斯医学科学院,医学博士
巴音朝鲁,男,蒙古族,内蒙古鄂托克前旗,1955年10月,吉林大学,经济学硕士
巴特尔,男,蒙古族,辽宁康平,1955年2月,复旦大学,经济学硕士
艾力更·依明巴海,男,维吾尔族,新疆英吉沙,1953年9月,西北轻工学院,轻工二系硅酸盐专业
石泰峰,男,汉族,山西榆社,1956年9月,北京大学,法学硕士
布小林,女,蒙古族,内蒙古土左旗,1958年8月,北京大学.吉林大学,法学博士
卢展工,男,汉族,浙江慈溪,1952年5月,哈尔滨建筑工程学院,建筑工程系工业与民用建筑专业
白春礼,男,满族,辽宁岫岩,1953年9月,中国科学院,中国科学院院士
吉炳轩　,男,汉族,河南孟津,1951年11月,郑州大学,中文
毕井泉,男,汉族,黑龙江省庆安县,1955年9月,中央党校.北京大学,工商管理硕士
曲青山,男,汉族,山东荣成,1957年5月,陕西师范大学,历史学学士.教授
朱生岭,男,汉族,江苏省东台市,1957年11月,解放军陆军指挥学院,军事学硕士
刘奇,男,汉族,山东沂水,1957年9月,西安交通大学,经济学博士
刘雷,男,汉族,山东聊城,1957年1月,,
刘鹤,男,汉族,河北昌黎,1952年1月,中国人民大学,经济学.公共管理硕士
刘士余,男,汉族,江苏灌云,1961年11月,清华大学,管理科学与工程专业硕士.技术经济学博士
刘万龙,男,汉族,山东省聊城市,,,
刘奇葆,男,汉族,安徽宿松,1953年1月,吉林大学,经济学硕士
刘国中,男,汉族,黑龙江望奎,1962年7月,华东工程学院,工学硕士
刘国治,男,汉族,辽宁锦县,1960年11月,清华大学,物理博士
刘金国,男,汉族,河北昌黎,1955年4月,中央党校,经济管理专业
刘结一,男,汉族,北京市人,1957年12月,北京外国语学院,研究生
刘振立,男,汉族,河北栾城,1964年8月,国防大学,军事学硕士
刘家义,男,汉族,重庆,1956年8月,西南财经大学,经济学博士
刘赐贵,男,汉族,福建泉州,1955年9月,中央党校,中央党校研究生
刘粤军　,男,汉族,山东省荣成市,1954年9月,中共中央党校,经济管理专业
齐扎拉,男,藏族,云南香格里拉,1958年8月,中央党校,中央党校研究生
安兆庆,男,锡伯族,辽宁沈阳,1957年5月,,
许勤,男,汉族,江苏连云港人,1961年10月,香港理工大学,管理学博士
许又声,男,汉族,福建闽清,1957年8月,厦门大学,文学学士
许达哲,男,汉族,湖南浏阳,1956年9月,哈尔滨工业大学,工学硕士.研究员.国际宇航科学院院士
许其亮,男,汉族,山东临朐,1950年3月,空军第五航空学校,军人
阮成发,男,汉族,湖北武汉,1957年10月,华中师范大学,在职博士研究生学历
孙志刚,男,汉族,河南荥阳,1954年5月,武汉大学,经济学博士
孙金龙,男,汉族,湖北钟祥,1962年1月,中国人民大学,经济学博士
孙绍骋,男,汉族,山东海阳,1960年7月,山东大学.北京大学,法学博士学位
孙春兰,女,汉族,河北饶阳,1950年5月,中央党校,中央党校研究生
杜家毫,男,汉族,浙江宁波,1955年7月,中央党校,工商管理硕士.高级经济师.高级政工师
李屹,男,汉族,四川渠县,1960年2月,中国社会科学院研究生院,在职研究生
李希,男,汉族,甘肃两当,1956年10月,西北师范学院.清华大学,高级管理人员工商管理硕士
李斌,女,汉族,辽宁抚顺,1954年10月,吉林大学,经济学博士
李强,男,汉族,浙江瑞安,1959年7月,中央党校,中央党校研究生学历.高级管理人员工商管理硕士学位
李干杰,男,汉族,湖南望城,1964年11月,清华大学,工学硕士学位.高级工程师
李小鹏,男,汉族,四川省成都市,1959年6月,中央党校,大学学历.高级工程师
李凤彪,男,汉族,河北安新,1959年10月,国防大学,战略学专业毕业.研究生学历
李玉赋,男,汉族,江苏,1954年10月,北京大学,经济学博士
李传广,男,汉族,山东青州,1961年3月,,
李纪恒,男,汉族,广西贵港,1957年1月,中国社会科学院,管理学博士.高级经济师
李克强,男,汉族,安徽定远,1955年7月,北京大学,法学学士.经济学博士学位
李作成,男,汉族,湖南安化,1953年10月,广西师范大学,马克思主义理论与思想政治教育专业毕业.研究生学历
李尚福,男,汉族,四川成都,1958年2月,国防科技大学,
李国英,男,汉族,河南禹州,1963年12月,东北师范大学,理学博士
李桥铭,男,汉族,河南省偃师市,1961年4月,,
李晓红,男,汉族,重庆合川,1959年6月,重庆大学.加州大学伯克利分校,中国工程院院士
李鸿忠,男,汉族,山东昌乐,1956年8月,吉林大学,大学学历.经济师
李锦斌,男,汉族,四川成都,1958年2月,吉林大学,法学博士
杨学军,男,汉族,山东武城,1963年4月,解放军通信工程学院,工学博士.中国科学院院士
杨洁篪,男,汉族,上海市,1950年5月,南京大学,历史学博士
杨振武,男,汉族,河北新乐,1955年5月,中央党校,中央党校研究生学历.高级编辑
杨晓渡,男,汉族,上海市,1953年10月,中央党校,中央党校研究生学历
肖捷,男,汉族,辽宁开原,1957年6月,财政部财政科学研究所,经济学博士
肖亚庆,男,汉族,北京,1959年,中南矿冶学院（现中南大学）,教授级高级工程师
吴社洲,男,汉族,湖北汉川,1958年,,军人
吴英杰,男,汉族,山东昌邑,1956年12月,中央党校,中央党校研究生学历
吴政隆,男,汉族,江苏南京,1964年11月,中北大学,工学学士学位.高级工程师
邱学强,男,汉族,山东莘县,1957年8月,中央党校,中央党校研究生学历
何平,男,汉族,,,,
何立峰,男,汉族,广东兴宁,1955年2月,厦门大学,经济学博士
应勇,男,汉族,浙江仙居,1957年11月,中央党校,法学硕士
魏凤和,男,汉族,山东茌平,1954年2月,国防大学,合同战役指挥专业
穆虹,男,汉族,辽宁省大连市,1956年12月,,
潘立刚,男,汉族,北京市,1956年5月,大连海运学院,工学学士
黎火辉,男,汉族,江西丰城,1963年,,
雒树刚,男,汉族,河北南宫,1955年5月,中央党校,中央党校研究生
冷溶,男,汉族,山东平度,1953年8月,北京大学,哲学
汪洋,男,汉族,安徽宿州,1955年3月,中央党校,工学硕士
汪永清,男,汉族,江西贵溪,1959年9月,吉林大学,法学博士
沈金龙,男,汉族,上海南汇,1956年10月,,军人
沈晓明,男,汉族,浙江绍兴,1963年5月,上海第二医科大学,医学博士
沈跃跃,女,汉族,浙江宁波,1957年1月,中央党校,经济管理
沈德咏,男,汉族,江西修水,1954年3月,中国政法大学,法学硕士
怀进鹏,男,汉族,黑龙江哈尔滨,1962年12月,哈尔滨工业大学.北京航空航天大学,工学博士
宋丹,男,汉族,云南昆明,1956年7月,西南政法大学,
宋涛,男,汉族,江苏宿迁,1955年4月,福建师范大学,经济学博士
宋秀岩,女,汉族,辽宁辽阳,1955年10月,中央党校,经济管理
张军,男,汉族,山东博兴,1956年10月,吉林大学.中国人民大学,法学博士
张又侠,男,汉族,陕西渭南,1950年7月,军事学院,军人
张升民,男,汉族,陕西,1958年2月,,军人
张庆伟,男,汉族,河北乐亭,1961年11月,西北工业大学,管理学博士
张庆黎,男,汉族,山东东平,1951年1月,中央党校,经济管理
张纪南,男,汉族,广东揭西,1957年2月,南开大学,管理学博士
张国清,男,汉族,河南罗山,1964年8月,清华大学,经济学博士
张春贤,男,汉族,河南禹州,1953年5月,哈尔滨工业大学,管理学硕士
张晓明,男,汉族,江苏泰兴,1963年9月,中国人民大学,法学硕士
张裔炯,男,汉族,上海,1955年10月,中央党校,法学
陆昊,男,汉族,上海,1967年6月,北京大学,经济学硕士
陈希,男,汉族,福建莆田,1953年9月,清华大学,工学硕士
陈武,男,壮族,广西崇左,1954年11月,中央党校,哲学学士
陈豪,男,汉族,江苏海门,1954年2月,华东师范大学,工商管理硕士
陈文清,男,汉族,四川仁寿,1960年1月,西南政法学院,法学
陈吉宁,男,汉族,吉林梨树,1964年2月,英国帝国理工学院,工学博士
陈全国,男,汉族,河南平舆,1955年11月,武汉理工大学,管理学博士
陈求发,男,苗族,湖南城步,1954年12月,国防科技大学,电子工程
陈宝生,男,汉族,甘肃兰州,1956年5月,北京大学,政治经济学
陈润儿,男,汉族,湖南茶陵,1957年10月,中央党校,经济管理
陈敏尔,男,汉族,浙江诸暨,1960年9月,中央党校,法学
努尔兰·阿不都满金,男,哈萨克族,新疆霍城,1962年12月,新疆大学.北京师范大学,思想政治
苗圩,男,汉族,北京,1955年5月,合肥工业大学,内燃机
苗华,男,汉族,福建福州,1955年11月,国防科技大学,管理工程
苟仲文,男,汉族,甘肃镇原,1957年6月,西安电子科技大学,工学硕士.管理学博士
范骁骏,男,汉族,江苏丹阳,1956年11月,,军人
林铎,男,汉族,山东菏泽,1956年3月,中央党校,法学.经济管理
尚宏,男,汉族,山东青岛,1960年10月,中北大学,自动控制系自动化
金壮龙,男,汉族,浙江舟山,1964年3月,北京航空航天大学.西北工业大学.复旦大学,工学硕士.经济学博士
周强,男,汉族,湖北黄梅,1960年4月,西南政法大学,法学硕士
周亚宁,男,汉族,河北南宫,1957年12月,,军人
郑和,男,汉族,上海,1958年11月,俄罗斯伏龙芝军事学院,军事学硕士
郑卫平,男,汉族,山西万荣,1955年,,军人
郑晓松,男,汉族,北京,1959年9月,奥斯陆大学,挪威语
孟祥锋,男,汉族,河北平乡,1964年12月,吉林大学,法学博士
赵乐际,男,汉族,陕西西安,1957年3月,中央党校,政治学
赵克志,男,汉族,山东莱西,1953年12月,中央党校,社会主义专业
赵宗岐,男,汉族,黑龙江宾县,1955年,,军人
郝鹏,男,汉族,陕西凤翔,1960年7月,西北工业大学,工程硕士
胡和平,男,汉族,山东临沂,1962年10月,日本东京大学,工学博士
胡泽君,女,汉族,重庆,1955年3月,西南政法学院,法学硕士
胡春华,男,汉族,湖北五峰,1963年4月,北京大学,中文
咸辉,女,回族,甘肃定西,1958年3月,兰州大学,管理学博士
钟山,男,汉族,浙江上虞,1955年10月,浙江大学,经济学博士
信春鹰,女,汉族,内蒙古通辽,1956年10月,吉林大学,法学硕士
侯建国,男,汉族,福建福清,1959年10月,中国科学技术大学,物理学博士
娄勤俭,男,汉族,贵州桐梓,1956年12月,华中科技大学,工学博士
洛桑江村,男,藏族,西藏察雅,1957年7月,中央党校,马克思主义哲学
骆惠宁,男,汉族,安徽当涂,1954年10月,中国人民大学,经济学博士
秦生祥,男,汉族,湖北监利,1957年2月,中央党校,
袁家军,男,汉族,吉林通化,1962年9月,北京航空学院.航空航天部空间技术研究院,工学博士
袁誉柏,男,汉族,湖北公安,1956年5月,,军人
袁曙宏,男,汉族,安徽舒城,1958年7月,北京大学.中国政法大学,法学博士
聂辰席,男,汉族,灵寿,1957年7月,中国科技大学.天津大学,管理学博士
栗战书,男,汉族,河北平山,1950年8月,河北师范大学,高级工商管理硕士
钱小芊,男,汉族,江苏启东,1955年11月,中国人民大学,法学学士
铁凝,女,汉族,河北赵县,1957年9月,,
倪岳峰,男,汉族,安徽岳西,1964年9月生,清华大学,工学博士
徐麟,男,汉族,上海,1963年6月,,工商管理硕士
徐乐江,男,汉族,山东新泰,1959年4月,中央党校,法学理论
徐安祥,男,汉族,江苏常州,1956年4月,,军人
高津,男,汉族,江苏靖江,1959年4月,二炮指挥学院,
郭声琨,男,汉族,江西兴国,1954年10月,北京科技大学,管理学博士
郭树清,男,汉族,内蒙古察右后旗,1956年8月,中国社会科学院研究生院,法学博士
唐仁健,男,汉族,重庆,1962年8月,西南财经大学,经济学博士
黄明,男,汉族,江苏兴化,1957年10月,江苏公安专科学校.南京师范大学,在职研究生
黄守宏,男,汉族,河南范县,1964年6月,北京农业大学. 中国农业科学,管理学博士
黄坤明,男,汉族,福建上杭,1956年11月,清华大学,管理学博士
黄树贤,男,汉族,江苏扬中,1954年9月,南京大学,文哲史
曹建明,男,汉族,江苏南通,1955年9月,华东政法学院,法学硕士
龚正,男,汉族,江苏苏州,1960年3月,厦门大学,经济学博士
盛斌,男,汉族,辽宁营口,1958年12月,国防大学,军事学硕士
雪克来提·扎克尔,男,维吾尔族,新疆伊宁,1953年8月,中央党校,工商管理硕士
鄂竟平,男,汉族,河北唐山,1956年1月,华北水利水电大学,水工专业
鹿心社,男,汉族,山东巨野,1956年11月,中央党校,工学学士
谌贻琴,女,白族,贵州织金,1959年12月,中央党校,经济学
彭清华,男,汉族,湖北大冶,1957年4月,中山大学,管理学博士
蒋超良,男,汉族,湖南汨罗,1957年8月,西南财经大学,经济学硕士
韩正,男,汉族,浙江慈溪,1954年4月,华东师范大学,经济学硕士
韩卫国,男,汉族,河北井陉,1956年1月,国防大学,军事学硕士
韩长赋,男,汉族,,1954年10月,中央党校,法学博士
傅政华,男,汉族,河北滦县,1955年3月,北京大学,法学硕士
谢伏瞻,男,汉族,湖北天门,1954年8月,中央党校,工学硕士
楼阳生,男,汉族,浙江浦江,1959年10月,浙江大学,工商管理硕士
蔡奇,男,汉族,福建尤溪,1955年12月,福建师范大学,经济学博士
蔡名照,男,汉族,山东日照,1955年6月,中央党校,政治经济学
