time,position
1978—1982,东北重型机械学院机械工程系锻压工艺及设备专业学习
1982—1984,上海材料研究所九室科研人员
1984—1988,上海材料研究所办公室副主任、团委书记
1988—1992,上海材料研究所办公室主任、宣传部主任
1992—1994,上海材料研究所九室主任
1994—1996,上海材料研究所副所长
1989—1994,复旦大学管理学院行政管理专业在职研究生学习、获理学硕士学位
1996—1999,上海材料研究所党委副书记、所长
1999—2001,上海市科委副主任（正局级）
2001—2004,上海市闸北区委副书记、代区长、区长
2004—2006,上海市委组织部副部长、市人事局局长、党组书记、市编办主任、市委党校副校长、校委会副主任、市行政学院副院长
2006—2007,上海市委副秘书长、办公厅主任、市级机关工作党委书记
2007—2012,上海市委常委、秘书长
2012—2013,上海市委常委、政法委书记
2013—2015,中央办公厅副主任兼国家主席办公室主任
2015—2017,中央办公厅主持常务工作的副主任（正部长级）兼国家主席办公室主任
2017—,中央政治局委员、中央书记处书记、中央办公厅主任兼国家主席办公室主任、中央直属机关工委书记
