time,position
1982.1,于大连理工大学获工学学士学位。
1982.1—1987.6,于大连理工大学获工学硕士学位
1987.6—1996.3,于日本东北大学获博士学位。
1982.02—1984.08,吉林省邮电工业总厂 助理工程师 吉林省邮电局政治部 干事
1987.07—1992.02,大连海事大学 讲师
1996.04—1997.09,日本科学技术振兴事业团 研究员
1997.10—1998.09,日本北海道大学 客座教授
1998.10—2000.03,日本东北大学 助理教授
2000.03—1998,入选中国科学院“百人计划”后回国
1999.09—2004.2,中国科学院化学研究所 研究员
2004.2—2013.1,中国科学院化学研究所所长、中国科学院分子科学中心主任。
2009—,年当选中国科学院院士
2010—,当选第三世界科学院院士。
2012.11.14—2017,当选为中共第十八届中央候补委员。
2015.3—2017.6,任中国科学技术大学校长（副部长级）。
2017.6.9—,任中国侨联第九届委员会主席、中国共产党第十九届中央委员会委员、党的十九大代表
