time,position
1973.08—1976.11,福建省永定县立新知青场插队知青；
1976.11—1978.02,福建省永定县狮象潭水电站工人；
1978.02—1982.02,厦门大学经济系财政金融专业学生；
1982.02—1984.08,厦门大学财政金融系财政学专业硕士研究生；
1984.08—1984.10,任厦门市经济特区经济研究所干部；
1984.10—1985.11,任厦门市政府办公室干部、副主任；
1985.11—1990.10,任厦门市财政局副局长、局长；
1990.10—1992.12,任厦门市杏林区委书记；
1992.12—1995.02,任厦门市副市长
1995.02—2000.03,任泉州市委副书记、代市长、市长、市委书记
2000.03—2001.12,任福州市委书记；
2001.12—2005.05,任福建省委常委、福州市委书记；
2005.05—2009.04,任福建省委常委、厦门市委书记、市人大常委会主任；
2009.04—2009.05,任天津市委副书记；
2009.05—2009.12,任天津市委副书记兼市委滨海新区工委书记、市滨海新区管委会主任、党组书记、塘沽区委书记；
2009.12—2013.01,任天津市委副书记兼滨海新区区委书记；
2013.01—2013.04,任天津市委副书记、市政协主席、党组书记；
2013.04—2014.06,任天津市政协主席、党组书记；
2014.06—2017.02,任国家发展和改革委员会党组副书记、副主任（正部长级）；
2017.02—,任国家发展和改革委员会主任、党组书记。
