time,position
1976—1978,福建省福清县轻工机械厂工作
1978—1982, 中国科学技术大学物理系晶体专业学习
1982—1989, 中国科学技术大学固体物理专业硕士研究生、基础物理中心固体物理专业博士研究生
1989—1991, 中国科学院福建物质结构研究所从事博士后研究
1991—1993, 美国加利福尼亚大学伯克利分校物理系从事博士后研究
1993—1995, 美国俄勒冈州立大学高级访问学者
1995—1995, 中国科学技术大学基础物理中心教师
1995—1997, 中国科学技术大学基础物理中心副主任
1997—1999, 中国科学技术大学结构成分分析中心主任
1999—2000, 中国科学技术大学理化科学中心主任
2000—2005, 中国科学技术大学副校长
2005—2008, 中国科学技术大学常务副校长（正局级）
2008—2015, 中国科学技术大学校长（副部长级）
2015—2016, 科学技术部副部长、党组成员
2016— 2017,广西壮族自治区党委副书记、自治区党委党校校长
2017.05—2017.06,国家质量监督检验检疫总局党组书记
2017.06—,国家质量监督检验检疫总局党组书记、副局长、中国共产党第十九届中央委员会委员、第十一届全国人大常委会委员、广西壮族自治区党委第十、十一届委员、常委、副书记、党的十九大代表。
