time,position
1973—1975.10,到农村插队。
1975.10—1978,吉林大学法律系学习。
1978—1981,中国社会科学院研究生院法学系毕业获法学硕士学位、留社科院法学研究所工作。
1984—1986,底加州大学伯克莱法学院作访问学者
1988.10—1991,中国社会科学院法学研究所香港、澳门、台湾法研究室主任。
1991—1995,美国哈佛大学东亚法律研究中心作访问学者
1995—1998,中国社会科学院法学研究所、政治学研究所副所长、兼任《政治学研究》主编、兼任两所联合党委副书记。
1998—2001,中国社会科学院法学研究所、政治学研究所联合党委书记并主持所务工作。
2001—2003,中国社会科学院法学研究所党委书记、副所长。
2003.03—2007,第十届全国人大常委会委员。
2003.08—2015,任全国人大常委会法制工作委员会主任委员助理。
2004—2015,任全国人大常委会法制工作委员会副主任。
2015.07—,任全国人大常委会副秘书长、机关党组副书记、中国共产党第十九届中央委员会委员、第十届全国人大常委会委员、十一届全国人大常委会委员、全国人大法律委员会委员、全国人大常委会法制工作委员会副主任、党的十九大代表
