time,position
1980.09—1987.06,在合肥工业大学电气工程系工业自动化专业学习、获学士、硕士学位；
1987.06—1990.09,合肥工业大学教师；
1990.09—1993.07,在清华大学自动化系系统工程专业学习、获博士学位；
1993.07—1997.12,任山东省青岛市科委主任助理、青岛市计委副主任；
1997.12—2000.08,先后任国家海洋局科技司副司长、司长、海洋环境保护司司长；
2000.08—2003.03,国家海洋局副局长、党组成员；
2003.03—2003.08,全国人大环境与资源保护委员会委员；
2003.08—2008.02,全国人大环境与资源保护委员会委员、主任委员助理；
2008.02—2011.02,全国人大环境与资源保护委员会副主任委员（副部长级）；
2011.02—2013.06,福建省人民政府副省长、党组成员；
2013.06—2016.08,福建省委常委、省纪委书记；
2016.08—2016.10,福建省委常委、省纪委书记、福州市委书记；
2016.10—2016.11,福建省委常委、福州市委书记；
2016.11—2017.05,福建省委副书记、福州市委书记； 
2017.05—2017.06,海关总署党组书记；
2017.06—,海关总署党组书记、副署长、中国共产党第十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、第十届全国人大常委会委员、十一届全国人大常委会委员、第九届福建省委委员、常委、第十届福建省委委员、常委、副书记、第九届福建省纪委委员、常委、书记、福建省第十二届人大代表、党的十九大代表
