time,position
2010.01,曾任北京市公安局刑侦处大要案队队长、刑侦处副处长兼大要案队队长、公安部刑侦局副局长、北京市公安局党委委员、副局长、市禁毒委副主任、北京市公安局党委副书记、副局长。
2010.01—2010.02,北京市公安局党委书记、副局长。
2010.02—2010.06,北京市公安局局长、党委书记。
2010.06—2010.07,北京市公安局局长、党委书记兼任北京市政法委副书记。
2010.07—2013.08,北京市委常委、政法委副书记、市公安局党委书记、局长。
2013.08—2015.01,公安部副部长、党委委员、北京市委常委、政法委副书记、市公安局党委书记、局长。
2015.01—2015.03,公安部副部长、党委委员、中央政法委委员、北京市委常委、政法委副书记、市公安局党委书记、局长。
2015.03—2015.09,公安部副部长、党委副书记（正部长级）、中央政法委委员。 
2015.09—2016.05,公安部党委副书记、副部长、中央610办公室主任、中央政法委委员。 
2016.05—2016.08,公安部党委副书记、常务副部长、中央610办公室主任、中央政法委委员。
2016.08—,公安部党委副书记、常务副部长、中央610办公室主任、中国共产党第十九届中央委员会委员、党的十八大、十九大代表。
