time,position
1969.09—1973.01, 黑龙江生产建设兵团第五师战士。
1973.01—1974.01, 北京第二机床厂工人。
1974.01—1979.09, 北京第二机床厂政治部宣传科干事
1979.09—1983.08, 北京大学哲学系哲学专业学习。
1983.08—1988.03, 中央文献研究室综合组邓小平研究小组编辑、副组长。
1988.03—1992.09, 中央文献研究室邓小平研究组著作小组副组长。
1992.09—1994.06, 中央文献研究室邓小平研究组副组长兼著作小组组长（副局级）。
1994.06—1995.06, 中央文献研究室室务委员兼邓小平研究组副组长、第三编研部副主任（副局级）。
1995.06—1997.11, 中央文献研究室室务委员兼第三编研部主任。
1997.11—2001.10, 中央文献研究室副主任
2001.10—2004.11, 中央文献研究室常务副主任。
2004.11—2007.12, 中国社会科学院党组副书记、常务副院长
2007.12—2009.2, 中共中央文献研究室主任。
2008.10—,当选中国科学社会主义学会会长。
2009.02—,当选中国中共文献研究会会长、中共十六大代表、十七大代表、十九大代表、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委员、第十届全国人大常委会委员、全国人大法律委员会委员。
