time,position
1968—1972, 安徽省宿松县洲头公社金坝大队刘屋生产队指导员、金坝大队党支部委员、团支部书记；
1972—1974, 安徽师范大学历史系历史学专业学习；
1974—1977, 安徽省委宣传部理论研究室干部；
1977—1980, 安徽省委办公厅秘书处秘书；
1980—1982, 共青团安徽省委宣传部副部长；
1982—1983, 共青团安徽省委副书记、党组成员兼宣传部部长；
1983—1985, 共青团安徽省委书记、党组书记；
1985—1993, 共青团中央书记处书记、共青团中央直属机关党委书记；
1993—1994, 人民日报社副总编辑；
1994—2000, 国务院副秘书长、机关党组成员；
2000—2006, 广西壮族自治区党委副书记、区党委党校校长；
2006—2007, 广西壮族自治区党委书记、区党委党校校长；
2007—2007, 广西壮族自治区党委书记、区人大常委会主任；
2007—2008, 四川省委书记；
2008—2012.11, 四川省委书记、省人大常委会主任；
2012.11—2013.01,中央政治局委员、中央书记处书记、中央宣传部部长、四川省人大常委会主任；
2013.01—2017.10,中央政治局委员、中央书记处书记、中央宣传部部长
