time,position
1970.01—1973.12,参加中国人民解放军、陆军战士；
1973.12—1974.09,陆军排长；
1974.09—1979.07,陆军连长；
1979.07—1980.06,陆军团司令部作训股股长；
1980.06—1981.05,陆军营长；
1981.05—1987.07,陆军团参谋长；
1987.07—1989.06,陆军团长；
1989.06—1992.12,陆军师参谋长；
1992.12—1993.04,陆军副师长；
1993.04—1994.04,驻香港部队深圳基地主任（副师职）；
1994.04—1998.10,中国人民解放军广州军区第四十一集团军第123摩托化步兵师师长；
1998.10—1999.04,中国人民解放军广州军区第四十一集团军集团军参谋长；
1999.04—2002.02,中国人民解放军驻澳门部队司令员；
2002.02—2007.06,中国人民解放军广州军区第四十二集团军军长；
2007.06—2012.10,中国人民解放军兰州军区参谋长；
2012.10—2016.02,中国人民解放军兰州军区司令员；
2016.02—, 中国人民解放军东部战区司令员
