time,position
1973.02—1976.10,福建省邵武县洪墩公社外石大队知青、大队党支部书记
1976.10—1983.08,福建省邵武县洪墩公社干事、团委书记、党委副书记、党委书记、革委会主任
1983.08—1983.11,福建省邵武县委政法委书记
1983.11—1986.02,福建省邵武市委副书记
1986.02—1988.12,福建省光泽县委副书记
1988.12—1993.03,福建省光泽县委书记、县人民武装部党委第一书记
1993.03—1997.03,共青团福建省委副书记、省青年联合会主席
1997.03—1998.08,福建省莆田市委常委、常务副市长、兼福建省预备役炮兵师第三团第一政委、党委书记
1998.08—1999.12,福建省莆田市委副书记、常务副市长、兼福建省预备役炮兵师第三团第一政委、党委书记
1999.12—2000.03,福建省莆田市委副书记
2000.03—2002.05,福建省海洋与渔业局局长
2002.05—2005.06,福建省龙岩市委副书记、代市长、市长、市武装动员委员会主任
2005.06—2007.02,福建省龙岩市委书记、龙岩军分区委员会第一书记、市武装动员委员会第一主任
2007.02—2007.04,福建省厦门市委副书记、代市长、市武装动员委员会主任
2007.04—2011.01,福建省厦门市委副书记、市长、市武装动员委员会主任
2011.01—2014.12,国土资源部党组成员、国家海洋局局长、党组书记、中国海警局政委（2013.03）、中央维护海洋权益工作领导小组成员（2012.09）、国家应对气候变化及节能减排工作领导小组成员（2013.07）
2014.12—2015.01,海南省委副书记、省政府党组书记
2015.01—2015.02,海南省委副书记、省政府代省长、党组书记
2015.02—2017.03,海南省委副书记、省政府省长、党组书记
2017.03—2017.04,海南省委书记、省政府省长、党组书记
2017.04—2017.05,海南省委书记、省人大常委会党组书记
2017.05—,海南省委书记、省人大常委会主任、党组书记
