time,position
1976.12—1983.09,河北省昌黎县槐李庄公社党委副书记、书记
1983.09—1985.08,河北省委党校中青年干部培训班学习
1985.08—1986.01,河北省昌黎县刘台庄工委副书记、书记
1986.01—1986.07,河北省昌黎县委常委、组织部部长
1986.07—1987.04,河北省昌黎县委副书记
1987.04—1991.05,河北省秦皇岛市山海关区委副书记、区长
1991.05—1992.05,河北省秦皇岛市委秘书长
1992.05—1992.07,河北省秦皇岛市公安局局长
1992.07—1993.04,河北省秦皇岛市委常委、公安局局长
1993.04—1994.11,河北省秦皇岛市副市长、公安局局长
1994.11—1995.07,河北省秦皇岛市委常委、副市长、公安局局长
1995.07—2001.11,河北省公安厅党委委员、副厅长
2001.11—2001.12,河北省公安厅党委副书记、副厅长（正厅级）
2001.12—2002.12,河北省委政法委书记
2002.12—2005.03,河北省委常委、政法委书记
2005.03—2009.08,公安部党委委员、副部长
2009.08—2014.01,公安部党委委员、副部长、纪委书记、督察长
2014.01—2014.02,中央防范和处理邪教问题领导小组副组长、办公室主任、公安部党委副书记、副部长、纪委书记、督察长
2014.02—2014.10,中央防范和处理邪教问题领导小组副组长、办公室主任、国务院防范和处理邪教问题办公室主任、公安部党委副书记、副部长、纪委书记、督察长
2014.10—2014.12,中央纪委副书记、中央政法委委员、中央防范和处理邪教问题领导小组副组长、办公室主任、国务院防范和处理邪教问题办公室主任、公安部党委副书记、副部长、纪委书记、督察长
2014.12—2015.01,中央纪委副书记、中央政法委委员、国务院防范和处理邪教问题办公室主任、公安部党委副书记、副部长、纪委书记、督察长 
2015.01—2015.03,中央纪委副书记、公安部党委副书记、副部长、纪委书记、督察长
2015.03—, 中央纪委副书记
