time,position
1983.6,历任陆军第21军63师189团战士、文书、卫生班长、团司令部保密员、后勤处参谋、政治处干事、一机炮连指导员等职、被评为学习雷锋先进个人、荣立三等功3次。
1983.6—1986.6, 任陆军第21军政治部干部处副营职干事、63师炮团加榴炮营教导员；
1986.6—1988, 任兰州军区政治部干部部科技干部处副团职干事；
1988—1991.3, 被授予中校军衔；
1991.3—1994, 任科技干部处处长(期间入国防大学学习一)；
1994—1994.12, 晋升为上校军衔；
1994.12—1998, 任兰州军区政治部干部部副部长(期间入国防大学联合战役指挥专业学习三)；
1998—1999, 晋升为大校军衔；
1999—2003.6, 任新疆军区步兵11师政委；
2003.6—2004.7, 任南疆军区政治部主任；
2004.7—2007.1, 晋升为少将军衔；
2007.1—2013.7, 任第21集团军政委；
2013.7—2013.11, 任新疆军区政委 ；
2013.11—2014.7, 任新疆维吾尔自治区党委常委、新疆军区政委[3]  ；
2014.7—2014.12,晋升为中将军衔；
2014.12—2015.12,任兰州军区政委
2015.12—2017.7,任中国人民解放军陆军政治委员；
2017.7—,晋升上将军衔。
