time,position
1969—1970,　吉林省洮南县瓦房公社插队知青
1970—1973,　解放军三十八军一一二师高炮团五七营二连战士、副班长
1973—1979,　北京无线电厂工人、团委干事、书记
1979—1983,　中国人民大学二分校工业经济系工业经济管理专业学习
1983—1983,　中国人民大学工业经济系教师
1983—1986,　中国人民大学工业经济系工业经济专业硕士研究生
1986—1987,　国务院发展研究中心干部
1987—1988,　国家计委工业综合局干部
1988—1991,　国家计委产业政策司产业结构处副处长、处长
1991—1993,　国家计委长期规划和产业政策司产业结构处处长
1993—1994,　国家计委政策研究室副主任
1994—1998,　国家计委长期规划和产业政策司副司长
1998—2001,　国家信息中心常务副主任（正局级）、中经网公司董事长
2001—2003,　国务院信息化工作办公室副主任、党组成员、国家信息化专家咨询委员会主任
2003—2011,　中央财经领导小组办公室副主任
2011—2013,　国务院发展研究中心党组书记、副主任、中央财经领导小组办公室副主任
2013—2014,　中央财经领导小组办公室主任、国家发展和改革委员会副主任、党组成员
2014—2017,　中央财经领导小组办公室主任、国家发展和改革委员会副主任、党组副书记
2017—,　中央政治局委员、中央财经领导小组办公室主任、国家发展和改革委员会副主任、党组副书记
