time,position
1981.09—1985.07,新疆大学法律系法律专业学习
1985.07—1987.03,新疆维吾尔自治区巩留县人民法院助审员、审判员、副院长、审判委员会委员
1987.03—1992.03,新疆维吾尔自治区巩留县人民法院院长
1992.03—1993.05,新疆维吾尔自治区高级人民法院伊犁哈萨克自治州分院副院长兼刑事审判庭庭长、审判委员会委员
1993.05—2001.07,新疆维吾尔自治区高级人民法院伊犁哈萨克自治州分院党组副书记、院长
2001.07—2002.02,新疆维吾尔自治区伊犁哈萨克自治州委副书记、副州长
2002.02—2002.03,新疆维吾尔自治区伊犁哈萨克自治州委副书记、代理州长
2002.03—2003.01,新疆维吾尔自治区伊犁哈萨克自治州委副书记、州长
2003.01—2004.04,新疆维吾尔自治区人民政府副主席
2004.04—2005.09,新疆维吾尔自治区人民政府副主席、自治区党委政法委副书记
2005.09—2006.10,新疆维吾尔自治区人民政府副主席
2006.10—2008.01,新疆维吾尔自治区党委常委、自治区人民政府副主席
2008.01—2013.01,新疆维吾尔自治区党委常委
2013.01—, 政协新疆维吾尔自治区第十一届委员会主席
2013.4,任自治区政协党组书记、中国共产党第十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、新疆维吾尔自治区第九届委员会委员、党的十九大代表
