time,position
1969—1972,　黑龙江省富锦县富民公社知青
1972—1974,　黑龙江省建筑工程学校工业与民用建筑专业学习
1974—1978,　黑龙江省建筑工程学校教师
1978—1979,　华东工程学院自动武器设计专业学习
1979—1982,　哈尔滨建筑工程学院建筑工程系工业与民用建筑专业学习
1982—1984,　浙江省建筑工程总公司施工管理处干事、副处长
1984—1985,　浙江省第三建筑工程公司党委副书记、书记
1985—1986,　浙江省建筑工程总公司党委副书记
1986—1988,　浙江省建筑工程总公司党委书记
1988—1989,　浙江省嘉兴市委副书记、市纪委书记
1989—1989,　浙江省嘉兴市委副书记
1989—1991,　浙江省嘉兴市委书记
1991—1992,　浙江省委组织部副部长（正厅级）
1992—1993,　浙江省委常委、组织部部长
1993—1995,　浙江省委副书记、组织部部长
1995—1996,　浙江省委副书记
1996—1998,　河北省委副书记
1998—2001,　全国总工会副主席、党组副书记、书记处书记
2001—2002,　福建省委副书记
2002—2003,　福建省委副书记、代省长
2003—2004,　福建省委副书记、省长
2004—2004,　福建省委代理书记、省长
2004—2005,　福建省委书记
2005—2009,　福建省委书记、省人大常委会主任
2009—2013,　河南省委书记、省人大常委会主任
