time,position
1980.09—1984.08,太原机械学院（现中北大学）机械工程系机械制造工艺与设备专业学习
1984.08—1987.01,兵器工业部民品办公室干部
1987.01—1988.04,国家机械工业委员会发展规划司干部
1988.04—1990.12,机械电子工业部综合计划司干部
1990.12—1993.12,机械电子工业部、机械工业部办公厅秘书
1993.12—1998.03,机械工业部办公厅副处级秘书、正处级秘书
1998.03—1999.06,国家发展计划委员会办公厅正处级秘书
1999.06—1999.12,中国机械装备集团公司办公室主任
1999.12—2002.12,重庆市政府办公厅副主任
2002.12—2003.02,重庆市万州区委副书记、代区长
2003.02—2007.02,重庆市万州区委副书记、区长
2007.02—2007.05,重庆市万州区委书记
2007.05—2013.05,重庆市委常委、万州区委书记
2013.05—2013.11,重庆市委常委、秘书长、市直机关工委书记、万州区委书记
2013.11—2014.09,重庆市委常委、秘书长、市直机关工委书记
2014.09—2016.09,山西省委常委、太原市委书记
2016.09—2016.10,江苏省委副书记、南京市委书记
2016.10—2017.05,江苏省委副书记、南京市委书记兼南京市江北新区党工委书记
2017.05—2017.07,江苏省委副书记、代省长、省政府党组书记
2017.07—,江苏省委副书记、省长、省政府党组书记
