time,position
1975.03—1978.02,甘肃省定西县香泉公社插队知青
1978.02—1982.01,中央民族学院汉语言文学系汉语言文学专业学习
1982.01—1986.07,甘肃省委统战部干部处干事
1986.07—1988.07,甘肃省委统战部干部处主任科员
1988.07—1993.09,甘肃省委统战部干部处副处长
1993.09—1999.04,甘肃省委统战部干部处处长
1999.04—2000.05,甘肃省委统战部助理巡视员兼干部处处长
2000.05—2000.10,甘肃省委统战部副部长兼干部处处长
2000.10—2003.03,甘肃省委统战部副部长
2003.03—2004.09,甘肃省委组织部副部长、省委老干部工作局局长
2004.09—2007.03,甘肃省委组织部副部长、省委老干部工作局局长、省纪委常委
2007.03—2008.07,甘肃省副省长、省政府党组成员
2008.07—2012.04,甘肃省副省长、省政府党组成员、省红十字会会长
2012.04—2013.03,甘肃省委常委、副省长、省政府党组成员、省红十字会会长
2013.03—2015.05,甘肃省委常委、副省长、省政府党组成员、甘肃行政学院院长、省红十字会会长
2015.05—2016.06,甘肃省委常委、常务副省长、省政府党组副书记、甘肃行政学院院长、省红十字会会长
2016.06—2016.07,宁夏回族自治区党委副书记、区政府党组书记
2016.07—2016.09,宁夏回族自治区党委副书记、代主席、区政府党组书记 
2016.09—,宁夏回族自治区党委副书记、主席、区政府党组书记、中国共产党第十七届中央委员会候补委员、中国共产党第十八届、十九届中央委员会委员、党的十九大代表、宁夏自治区副总河长。
