time,position
1979.09—1983.08,四川财经学院政治经济学系政治经济学专业学习
1983.08—1987.03,农牧渔业部政策法规司科员
1987.03—1989.05,农牧渔业部政策法规司副主任科员、主任科员
1989.05—1990.11,农业部政策法规司产业政策处副处长
1990.11—1993.11,农业部政策体改法规司经济调节处副处长、处长
1993.11—1994.11,农业部办公厅部长办公室副主任（正处级）
1994.11—1998.07,农业部政策体改法规司副司长
1998.07—1998.09,农业部产业政策与法规司副司长
1998.09—2000.09,中央财经领导小组办公室农村组助理巡视员
2000.09—2005.02,中央财经领导小组办公室农村组巡视员
2005.02—2006.03,中央财经领导小组办公室农村组组长
2006.03—2006.06,中央财经领导小组办公室副主任
2006.06—2014.04,中央财经领导小组办公室副主任、中央农村工作领导小组办公室副主任、国务院扶贫开发领导小组副组长
2014.04—2014.05,广西壮族自治区党委常委
2014.05—2015.04,广西壮族自治区党委常委、区政府副主席
2015.04—2016.06,广西壮族自治区党委常委、区政府副主席、党组副书记
2016.06—2017.03,中央农村工作领导小组副组长（正部长级）兼办公室主任、中央财经领导小组办公室副主任
2017.03—2017.04,甘肃省委副书记
2017.04—2017.05,甘肃省委副书记、副省长、代省长、省政府党组书记
2017.05—,甘肃省委副书记、省长、省政府党组书记、中国共产党第十九届中央委员会委员、党的十九大代表、第十二届甘肃省委委员、常委、副书记、第十二届甘肃省人大代表。
