time,position
1973.08—1978.03,贵州省桐梓县复兴公社知青
1978.03—1982.02,华中工学院计算机科学和工程系外部设备专业学习
1982.02—1985.09,电子工业部第十五研究所技术员、助理工程师
1985.09—1988.07,电子工业部第十五研究所计算机组织与系统结构专业硕士研究生
1988.07—1990.10,电子工业部、机械电子工业部第十五研究所工业自动化研究室工程师
1990.10—1993.04,机械电子工业部第十五研究所工业自动化研究室副主任
1993.04—1995.03,电子工业部第十五研究所工业应用研究室主任、国家863计划CIMS主题专家
1995.03—1998.03,电子工业部第十五研究所所长兼太极计算机公司总经理、董事长、电子工业部信息化工程总体研究中心主任
1998.03—1999.02,信息产业部第十五研究所所长、总装备部科技委兼职委员
1999.02—1999.04,信息产业部电子科学研究院副院长、第十五研究所所长
1999.04—2008.03,信息产业部副部长、党组成员
2008.03—2010.08,工业和信息化部副部长、党组成员
2010.08—2010.09,陕西省委常委
2010.09—2012.12,陕西省委常委、副省长
2012.12—2013.01,陕西省委副书记、代省长
2013.01—2016.03,陕西省委副书记、省长
2016.03—2016.04,陕西省委书记
2016.04—2017.10,陕西省委书记、省人大常委会主任
2017.10—,江苏省委书记、党的十六大、十七大、十八大、十九大代表、第十八届中央候补委员、十九届中央委员、十二届全国人大代表、十三届江苏省委委员、常委。
