time,position
1971.02—1973.04,河南省荥阳县插队知青；
1973.04—1973.09,任河南省荥阳县丁店水库干部；
1973.09—1976.09,武汉钢铁学院冶金系炼钢专业学习；
1976.09—1980.09,武汉钢铁学院教师
1980.09—1983.09,上海财经学院工业经济专业硕士研究生学习；
1983.09—1985.04,在中南财经大学经济研究所工作；
1985.04—1986.11,任湖北省武汉市经委副主任；
1986.11—1987.02,任湖北省武汉市体改委副主任；
1987.02—1992.09,任湖北省武汉市计委副主任；
1992.09—1993.03,任湖北省武汉市汉阳区委副书记、副区长、代区长、区长；
1993.03—1996.08,任湖北省武汉市副市长
1996.08—1999.03,任湖北省宜昌市委副书记、市长
1999.03—1999.09,任湖北省宜昌市委书记、市长、宜昌军分区党委第一书记；
1999.09—2002.04,任湖北省宜昌市委书记、宜昌军分区党委第一书记；
2002.04—2002.06,任湖北省宜昌市委书记、市人大常委会主任、宜昌军分区党委第一书记；
2002.06—2002.08,任湖北省委常委、宜昌市委书记、市人大常委会主任、宜昌军分区党委第一书记；
2002.08—2006.09,任湖北省委常委、秘书长、省直机关工委书记；
2006.09—2006.10,任安徽省委常委；
2006.10—2010.12,任安徽省委常委、常务副省长、省政府党组副书记；
2010.12—2013.03,任国家发展和改革委员会副主任、党组成员兼国务院医改办主任；
2013.03—2015.10,任国家卫生和计划生育委员会副主任、党组副书记兼国务院医改办主任（正部长级）、全国政协人口资源环境委员会委员
2015.10—2016.01,任贵州省委副书记、副省长、代省长、省政府党组书记、全国政协人口资源环境委员会委员
2016.01—2016.02,任贵州省委副书记、省长、省政府党组书记、全国政协人口资源环境委员会委员 
2016.02—2017.07,任贵州省委副书记、省长、省政府党组书记
2017.07—2017.09,任贵州省委书记、省长、省政府党组书记；
2017.09—,任贵州省委书记。
