time,position
1965—1969,　辽宁省鞍山工业技术学校机械专业学习
1969—1974,　辽宁省鞍山钟表厂工人、车间党支部委员、厂团委负责人、党委委员
1974—1975,　辽宁省鞍山市一轻局党委常委、团委书记
1975—1977,　辽宁省鞍山市轻纺工业局党委常委、团委书记
1977—1979,　辽宁省鞍山化纤毛纺织总厂党委常委
1979—1980,　辽宁省鞍山化纤毛纺织总厂党委常委、政治处副主任
1980—1985,　辽宁省鞍山化纤毛纺织总厂副厂长
1985—1986,　辽宁省鞍山化纤毛纺织总厂党委副书记、副厂长
1986—1988,　辽宁省鞍山化纤毛纺织总厂党委书记
1988—1991,　辽宁省鞍山市妇联主任
1991—1993,　辽宁省总工会副主席
1993—1994,　辽宁省妇联主席、党组书记
1994—1995,　辽宁省总工会主席、党组书记
1995—1997,　辽宁省委常委、省总工会主席、党组书记
1997—1998,　辽宁省委副书记
1998—2001,　辽宁省委副书记、省委党校校长
2001—2001,　辽宁省委副书记、省委党校校长、大连市委书记
2001—2005,　辽宁省委副书记、大连市委书记 
2005—2009,　中华全国总工会党组书记、副主席、书记处第一书记
2009—2010,　福建省委书记
2010—2012,　福建省委书记、省人大常委会主任
2012—2012,　中央政治局委员、福建省委书记、省人大常委会主任
2012—2014,　中央政治局委员、天津市委书记
2014—2017, 中央政治局委员、中央统战部部长
