time,position
1980.08—1984.07,山东大学中文系汉语言文学专业学习
1984.07—1987.04,民政部救灾救济司救灾处干部
1987.04—1989.03,民政部救灾救济司救灾处科员
1989.03—1992.03,民政部救灾救济司救灾处主任科员
1992.03—1994.08,民政部救灾救济司救灾处副处长
1994.08—1996.03,民政部救灾救济司一处处长
1996.03—1999.03,民政部救灾救济司副司长
1999.03—2001.06,民政部优抚安置局副局长
2001.06—2009.04,民政部优抚安置局局长
2009.04—2009.09,民政部副部长、党组成员
2009.09—2012.08,民政部副部长、党组成员、全国双拥工作领导小组副组长、办公室主任、中央精神文明建设指导委员会委员、国家国防动员委员会委员
2012.08—2013.06,山东省副省长、国家国防动员委员会委员
2013.06—2014.09,山东省副省长
2014.09—2016.11,山西省委常委、统战部部长
2016.11—2017.02,山西省委常委、省政府副省长、党组成员。
2017.02—2017.03,民政部党组副书记
2017.03—2017.05,民政部党组副书记、副部长
2017.05—2017.06,国土资源部党组书记
2017.06—,国土资源部党组书记、副部长。
