time,position
1978.10—1982.08,武汉地质学院探矿工程系勘探掘进专业学习；
1982.08—1983.08,浙江省地矿局第三地质大队一分队工作；
1983.08—1986.08,武汉地质学院北京研究生院掘进工程专业硕士研究生；
1986.08—1989.07,辽宁省地矿局坑探工程大队技术负责人、副大队长；
1989.07—1991.07,辽宁省地矿局坑探工程大队大队长、党委书记兼总工程师；
1991.07—1992.06,中国地质工程公司副总经理、赴巴基斯坦CRBC项目部经理；
1992.06—1993.02,中国地质工程公司副总经理；
1993.02—1995.01,中国地质工程公司总经理、临时党委书记；
1995.01—1995.10,共青团中央青工部部长；
1995.10—1998.11,共青团中央书记处书记；
1998.11—2001.06,共青团中央书记处书记、全国青联副主席；
2001.06—2001.12,共青团中央书记处常务书记（副部长级）、全国青联副主席
2001.12—2003.04,共青团中央书记处常务书记（副部长级）、全国青联主席；
2003.04—2003.05,安徽省委常委、共青团中央书记处常务书记、全国青联主席；
2003.05—2003.07,安徽省委常委、政法委书记、共青团中央书记处常务书记、全国青联主席；
2003.07—2005.03,安徽省委常委、政法委书记；
2005.03—2005.05,安徽省委常委、政法委书记、合肥市委书记；
2005.05—2011.07,安徽省委常委、合肥市委书记；
2011.07—2011.09,安徽省委副书记、合肥市委书记；
2011.09—2013.04,安徽省委副书记；
2013.04—2016.02,湖南省委副书记；
2016.02—2016.03,新疆维吾尔自治区党委副书记、新疆生产建设兵团党委书记（正部长级）；
2016.03—2016.06,新疆维吾尔自治区党委副书记、新疆生产建设兵团党委书记、政委、中国新建集团公司董事长（正部长级）
2016.06—,新疆维吾尔自治区党委副书记、新疆生产建设兵团党委书记、政委、中国新建集团公司董事长、中央新疆工作协调小组成员（正部长级）
