time,position
1969—1976,黑龙江生产建设兵团战士、连指导员
1976—1976,北京市东城区建国门街道党委协助工作（待分配）
1976—1980,北京第一机床厂工人、组织科干事
1980—1984,中国人民大学一分校计划统计系国民经济计划专业学习
1984—1987,中国人民大学计划经济系国民经济计划专业硕士研究生
1987—1988,中国人民大学计划经济系教师
1988—1988,国务院办公厅秘书局干部
1988—1990,国务院办公厅秘书二局主任科员
1990—1992,国务院办公厅秘书二局一组副组长（副处级）
1992—1993,国务院办公厅秘书二局一组一秘（正处级）兼副组长
1993—1995,国务院办公厅秘书二局一组组长
1995—1997,国务院办公厅秘书二局助理政务专员（副局级）
1997—1998,国务院办公厅秘书二局副局长
1998—2000,国务院办公厅秘书二局局长
2000—2006,国务院副秘书长、机关党组成员
2006—2008,国家电力监管委员会主席、党组书记
2008—2012,国务院副秘书长、机关党组副书记
2012—2013,福建省委书记
2013—2017,福建省委书记、省人大常委会主任
2017—2017,中央书记处书记、福建省委书记、省人大常委会主任
2017—, 中央书记处书记、中央统战部部长、福建省人大常委会主任
