time,position
1980.09—1986.07,山东医科大学医学系医学专业学习
1986.07—1988.11,山东医科大学卫生系社会医学与卫生事业管理专业硕士研究生
1988.11—1993.11,俄罗斯医学科学院谢马什克社会卫生、经济与卫生事业管理研究所卫生经济与卫生事业管理专业博士研究生
1993.11—1994.11,国务院研究室教科文卫司干部
1994.11—1997.04,国务院研究室教科文卫司副处长
1997.04—1999.12,国务院研究室社会发展研究司处长
1999.12—2003.05,国务院研究室社会发展研究司助理巡视员、巡视员
2003.05—2003.10,卫生部办公厅副主任（正局级）
2003.10—2006.07,卫生部国际合作司司长
2006.07—2008.09,卫生部办公厅主任
2008.09—2012.02,卫生部副部长、党组成员
2012.02—2013.04,卫生部副部长、党组成员、国家食品药品监督管理局局长、党组书记
2013.04—2015.03,国家食品药品监督管理总局副局长、党组副书记、国家卫生和计划生育委员会副主任
2015.03—2015.04,四川省委副书记
2015.04—2016.01,四川省委副书记、宣传部部长 
2016.01—2016.02,四川省委副书记、省长、省委宣传部部长
2016.02—,四川省委副书记、省长
