time,position
1973.01—1978.11,内蒙古自治区鄂温克自治旗乌兰牧骑工作
1978.11—1980.08,内蒙古自治区海拉尔蒙古族师范学校蒙文大专班学习
1980.08—1983.10,内蒙古自治区呼伦贝尔盟党校教员
1983.10—1984.12,共青团内蒙古自治区呼伦贝尔盟委书记
1984.12—1986.05,共青团内蒙古自治区委副书记
1986.05—1992.04,共青团内蒙古自治区委书记
1992.04—1994.03,内蒙古自治区乌海市委副书记（正厅级）
1994.03—1994.12,内蒙古自治区乌海市委书记
1994.12—1998.02,内蒙古自治区乌海市委书记、市长
1998.02—1999.03,内蒙古自治区乌海市委书记
1999.03—1999.12,内蒙古自治区乌海市委书记、市人大常委会主任
1999.12—2001.12,内蒙古自治区党委常委、自治区纪委书记
2001.12—2008.04,内蒙古自治区党委副书记、自治区纪委书记
2008.04—2009.01,内蒙古自治区党委副书记、自治区政府代主席
2009.01—2016.03,内蒙古自治区党委副书记、自治区政府主席
2016.03—2016.04,中央统战部副部长、国家民族事务委员会党组书记
2016.04—,中央统战部副部长、国家民族事务委员会主任、党组书记
