time,position
1976.12 — 1977.04, 浙江省黄岩县澄江工商行政管理所办事员
1977.04 — 1982.05, 黄岩县澄江派出所办事员、副所长
1982.05 — 1983.06, 黄岩县城关镇党委委员、镇派出所所长
1983.06 — 1983.11, 黄岩县城关镇党委副书记、镇长
1983.11 — 1984.09, 台州地区行署公安处副处长、党组(委)副书记
1984.09 — 1986.07, 中国政法大学法律专修科学习
1986.07 — 1992.01, 浙江省台州地区行署公安处处长、党组(委)书记
1992.01 — 1992.03, 台州地委委员、行署公安处党委书记、处长
1992.03 — 1992.08, 台州地委委员、政法委书记、行署公安处党委书记、处长
1992.08 — 1993.04, 绍兴市委常委、市公安局党委书记、局长
1993.04 — 1995.05, 绍兴市委常委、政法委书记、市保密委主任、市综治委主任、市公安局党委书记、局长
1995.05 — 1999.04, 浙江省公安厅副厅长、党委委员、省禁毒办主任
1999.04 — 2003.07, 浙江省公安厅党委副书记、副厅长(正厅级)、省禁毒办主任、省反恐办主任
2003.09 — 2005.12, 浙江省纪委副书记、省监察厅厅长
2005.12 — 2006.01, 浙江省高级人民法院党组书记、代院长、省纪委副书记、省监察厅厅长
2006.01 — 2006.11, 浙江省高级人民法院院长、党组书记、省纪委副书记
2006.11 — 2007.12, 浙江省高级人民法院院长、党组书记
2007.12 — 2008.01, 上海市高级人民法院党组书记
2008.01 — 2013.04, 上海市高级人民法院院长、党组书记
2013.04 — 2014.06, 上海市委常委、组织部长
2014.06 — 2014.08, 上海市委副书记、组织部长
2014.08 — 2016.09, 上海市委副书记
2016.09 — 2017.01, 上海市委副书记、市政府常务副市长
2017.01—, 上海市委副书记、市长
