time,position
1973.01—1975.10,吉林省农安县合隆公社知青、朱家园子大队革委会副主任
1975.10—1978.08,共青团吉林省长春市委宣传部干部
1978.08—1982.08,吉林大学法律系法律专业学习
1982.08—1985.08,中国人民大学法律系刑法专业硕士研究生
1985.08—1995.01,最高人民法院研究室综合处、刑事处书记员、刑事处副处长、助理审判员、处长、审判员
1995.01—1998.11,最高人民法院研究室副主任
1998.11—2000.08,最高人民法院审判委员会委员、刑事审判第一庭庭长
2000.08—2001.12,最高人民法院审判委员会委员、刑事审判第二庭庭长
2001.12—2003.06,最高人民法院副院长、党组成员、审判委员会委员
2003.06—2005.08,司法部副部长、党组成员
2005.08—2007.10,最高人民法院副院长、党组成员、审判委员会委员
2007.10—2008.04,中央纪委常委、最高人民法院副院长、党组成员、审判委员会委员
2008.04—2012.11,中央纪委常委、最高人民法院副院长、党组副书记、审判委员会委员
2012.11—2017.02,中央纪委副书记
2017.02—,司法部部长、党组书记、中央政法委委员、第十七届中央纪委委员、常委、中央纪委副书记、十八届中央纪委委员、常委、副书记、党的十九大代表、中国共产党第十九届中央委员会委员。
