time,position
1968—1971,　陆军第十四军四十师一一九团六连战士
1971—1977,　陆军第十四军四十师一一九团司令部作训股参谋
1977—1979,　陆军第十四军四十师一一九团三营八连连长
1979—1979,　陆军第十四军四十师一一八团司令部作训股股长
1979—1981,　陆军第十四军四十师一一八团参谋长
1981—1983,　陆军第十四军四十师一一八团副团长
1983—1984,　陆军第十四军四十师一一九团团长
1984—1987,　陆军第十四军四十师副师长
1987—1990,　陆军第十四集团军四十师副师长
1990—1994,　陆军第十四集团军四十师师长
1994—2000,　陆军第十三集团军副军长
2000—2005,　陆军第十三集团军军长
2005—2007,　北京军区副司令员
2007—2012,　沈阳军区司令员
2012—2013,　中共中央军事委员会委员、解放军总装备部部长
2013—2015,　中共中央军事委员会委员、中华人民共和国中央军事委员会委员、解放军总装备部部长
2015—2017,　中共中央军事委员会委员、中华人民共和国中央军事委员会委员、中央军委装备发展部部长
2017—2017,　中共中央军事委员会委员、中华人民共和国中央军事委员会委员
2017—,　中央政治局委员、中共中央军事委员会副主席、中华人民共和国中央军事委员会委员
