time,position
1981.09—1985.09,长春光学精密机械学院电子工程系光学电子技术专业学习
1985.09—1987.07,华东工学院管理工程系工业外贸专业学习
1987.07—1989.10,中国北方工业公司成套项目处、中东地区处项目经理、地区经理
1989.10—1993.02,中国北方工业公司驻德黑兰代表处总代表助理
1993.02—1995.10,中国北方工业公司中东地区处副处长、处长
1995.10—1996.07,中国北方工业公司国际贸易一部副总经理
1996.07—1998.07,中国北方工业公司副总裁兼中国万宝工程公司总经理
1998.07—1998.12,中国北方工业公司副总裁
1998.12—1999.06,中国北方工业公司党委书记、副总裁
1999.06—2004.04,中国兵器工业集团公司副总经理、党组成员兼中国北方工业公司党委书记、副总裁
2004.04—2006.11,中国兵器工业集团公司副总经理、党组成员兼中国北方工业公司总裁
2006.11—2007.06,中国兵器工业集团公司副总经理、党组副书记兼中国北方工业公司总裁
2007.06—2007.12,中国兵器工业集团公司党组书记、副总经理兼中国北方工业公司总裁
2007.12—2008.10,中国兵器工业集团公司党组书记、副总经理兼中国北方工业公司副董事长
2008.10—2013.04,中国兵器工业集团公司总经理、党组副书记兼中国北方工业公司董事长
2013.04—2016.12,重庆市委副书记、市委党校校长
2016.12—2017.01,重庆市委副书记、市政府副市长、代市长、党组书记、市委党校校长
2017.01—2017.04,重庆市委副书记、市政府市长、党组书记、市委党校校长
2017.04—,重庆市委副书记、市政府市长、党组书记、党的十八大、十九大代表、十七届中央候补委员、中国共产党第十八届、十九届中央委员会委员、十二届全国人大代表、市五次党代会代表、四届、五届市委委员、市四届人大代表、重庆市总河长
