time,position
1978.09—1982.08,西北工业大学飞机系飞机设计专业学习
1982.08—1985.09,航空部603所技术员、助理工程师
1985.09—1988.03,西北工业大学飞机系飞机设计专业硕士研究生
1988.03—1992.10,航天部、航空航天部一院一部总体室工程师、高级工程师、室主任助理、主任设计师
1992.10—1996.08,航空航天部、中国航天工业总公司一院一部载人航天工程运载火箭副总设计师、主任助理、副主任
1996.08—1998.08,中国航天工业总公司一院副院长（正局级）
1998.08—1999.06,中国航天工业总公司总经理技术业务助理兼一院副院长
1999.06—2001.11,中国航天科技集团公司副总经理、党组成员
2001.11—2002.02,中国航天科技集团公司总经理、党组书记
2002.02—2007.08,中国航天科技集团公司总经理、党组书记、载人航天工程副总指挥、中国宇航学会理事长、国际宇航科学院院士
2007.08—2008.03,国防科学技术工业委员会主任、党组书记、绕探测工程领导小组组长、国务院大型飞机重大专项领导小组副组长、大型客机项目筹备组组长
2008.03—2011.08,中国商用飞机有限责任公司董事长、党委书记
2011.08—2012.01,河北省委副书记、代省长、国务院南水北调工程建设委员会委员
2012.01—2017.03,河北省委副书记、省长、海河防汛抗旱总指挥部总指挥、2022年冬奥会申办委员会主席、北京2022年冬奥会和冬残奥会组委会执行主席、党组副书记、国务院南水北调工程建设委员会委员、第24届冬奥会工作领导小组成员
2017.03—2017.04,黑龙江省委书记、省人大常委会主任候选人
2017.04—2017.06,黑龙江省委书记、省人大常委会主任候选人、省军区党委第一书记
2017.06—,黑龙江省委书记、省人大常委会主任、省军区党委第一书记、中国共产党第十六届、十七届、十八届、十九届中央委员会委员、党的十九大代表
