time,position
1971.01—1976.04,山东省东平化肥厂工人、车间主任、党支部书记、厂党委副书记
1976.04—1976.11,山东省东平县委常委兼工交办副主任
1976.11—1979.01,山东省东平县委副书记
1979.01—1983.01,共青团中央工农青.部副处长、处长
1983.01—1986.03,共青团中央工农青.部副部长
1986.03—1988.01,山东省东营市副市长兼市政府秘书长
1988.01—1993.03,山东省东营市委副书记、副市长
1993.03—1995.01,山东省东营市委副书记、市长
1995.01—1997.03,山东省泰安市委书记
1997.03—1997.12,山东省泰安市委书记、市人大常委会主任
1997.12—1998.03,山东省委宣传部常务副部长
1998.03—1998.08,山东省委常务副秘书长
1998.08—1999.02,甘肃省委常委、宣传部部长
1999.02—1999.10,甘肃省委常委、兰州市委书记
1999.10—2004.12,新疆维吾尔自治区党委常委、新疆生产建设兵团司令员
2004.12—2005.01,新疆维吾尔自治区党委副书记、新疆生产建设兵团司令员
2005.01—2005.03,新疆维吾尔自治区党委副书记、区政府常务副主席、新疆生产建设兵团司令员
2005.03—2005.11,新疆维吾尔自治区党委副书记、区政府常务副主席
2005.11—2006.05,西藏自治区党委代理书记
2006.05—2011.08,西藏自治区党委书记、西藏军区党委第一书记
2011.08—2011.09,河北省委书记、省人大常委会党组书记
2011.09—2012.01,河北省委书记、省人大常委会党组书记、省军区党委第一书记
2012.01—2013.03,河北省委书记、省人大常委会主任、党组书记、省军区党委第一书记
2013.03—2014.01,十二届全国政协副主席兼秘书长、河北省人大常委会主任
2014.01—2015.03,十二届全国政协副主席兼秘书长
2015.03—,十二届全国政协副主席兼秘书长、机关党组书记
