time,position
1970.12—1975.03,解放军武汉军区通信团战士
1975.03—1976.12,河南省禹县城关公社东关大队干部
1976.12—1980.09,东北重型机械学院机械制造系锻压工艺及设备专业学习
1980.09—1982.04,三机部一一六厂十五车间技术员
1982.04—1985.02,机械部第十设计研究院计划科计划员、助理工程师、组织科（组织部）副科长（副部长）
1985.02—1988.08,机械部、机械委、机电部第十设计研究院党委书记
1988.08—1991.10,机电部第十设计研究院党委书记兼副院长
1991.10—1992.11,监察部驻机电部监察局副局长兼机电部纠风办主任
1992.11—1993.06,中国包装和食品机械总公司副总经理
1993.06—1995.08,中国包装和食品机械总公司总经理兼党委书记
1995.08—1997.12,云南省政府党组成员、省长助理
1997.12—1998.04,交通部党组成员
1998.04—1998.07,交通部副部长、党组成员
1998.07—2002.09,交通部副部长、党组成员、直属机关党委书记
2002.09—2002.10,交通部党组书记、副部长
2002.10—2005.12,交通部部长、党组书记
2005.12—2006.01,湖南省委书记
2006.01—2010.04,湖南省委书记、省人大常委会主任
2010.04—2012.11,新疆维吾尔自治区党委书记、新疆生产建设兵团第一政委、中央新疆工作协调小组副组长
2012.11—2016.08,中央政治局委员、新疆维吾尔自治区党委书记、新疆生产建设兵团第一政委、中央新疆工作协调小组副组长
2016.08—,中央政治局委员、中央党的建设工作领导小组副组长、中央新疆工作协调小组副组长、中国共产党第十六届、十七届、十八届、十九届中央委员会委员、十八届中央政治局委员、党的十九大代表
