time,position
1974.10—1975.07,天津市塘沽区教育局教师训练班学习
1975.07—1978.02,天津市塘沽十中教师
1978.02—1982.02,武汉水运工程学院船机系机械制造专业学习
1982.02—1984.03,天津市新港船厂设备科技术员、助理工程师
1984.03—1986.03,共青团天津市塘沽区委副书记
1986.03—1987.05,共青团天津市委组织部部长
1987.05—1991.08,共青团天津市委副书记
1991.08—1996.06,海南省旅游总公司总经理、党委书记
1996.06—1997.02,海南省委组织部副部长
1997.02—1998.08,海南省委组织部副部长、省企业工委书记
1998.08—2002.04,海南省委组织部副部长
2002.04—2002.05,海南省委常委、组织部副部长
2002.05—2003.12,海南省委常委、组织部部长
2003.12—2004.05,河南省委常委、组织部部长
2004.05—2007.03,中央组织部部务委员（副部长级）兼干部二局局长
2007.03—2007.07,中央组织部副部长兼干部二局局长
2007.07—2007.10,中央组织部副部长
2007.10—2013.04,中央纪委常委、中央组织部副部长
2013.04— ,中央纪委常委、中央机构编制委员会委员、办公室主任
