time,position
1972—1979, 青海第二汽车修理厂工人、厂团委副书记
1979—1980, 中央团校18期理论班学习
1980—1983, 青海省团校教员
1983—1985, 共青团青海省委工农青.部副部长、部长
1985—1990, 共青团青海省委副书记
1990—1994, 青海钾肥厂党委副书记
1994—1996, 青海钾肥厂党委书记、第一副厂长
1996—1997, 青海盐湖工业集团有限责任公司副董事长兼总经理、党委书记
1997—1997, 青海盐湖工业集团有限责任公司董事长兼总经理
1997—1998, 青海盐湖工业集团有限责任公司董事长
1998—1999, 青海省经济贸易委员会副主任、党委副书记
1999—1999,青海省经济贸易委员会党委书记
1999—2000, 青海省经济贸易委员会主任、党委书记
2000—2000, 青海省西宁市委书记
2000—2006, 青海省委常委、西宁市委书记
2006—2010, 西藏自治区党委副书记
2010—2010, 西藏自治区党委副书记、政法委书记
2010—2011, 江西省委副书记
2011—2011, 江西省委副书记、中国井冈山干部学院理事会副理事长、第一副院长
2011—2012, 江西省政协主席候选人、中国井冈山干部学院理事会副理事长、第一副院长
2012—2012, 江西省政协主席
2012—, 中央统战部副部长、党的十九大代表、中国共产党第十九届中央委员会委员
