time,position
1974.08—1975.11,湖北省大冶县太婆尖茶场知青组长
1975.11—1979.08,湖北省大冶县委知青办干事、公社党办秘书、县委办公室秘书
1979.08—1983.07,北京大学哲学系哲学专业学习
1983.07—1988.08,中组部党政外事干部局干事、地方干部局干事、副处长（1988.07）
1988.08—1992.11,中组部秘书
1992.11—1997.03,中组部党建研究所负责人、副所长
1997.03—1999.05,中组部党建研究所副所长、所长、《党建研究》杂志社总编辑
1999.05—2001.01,中组部研究室主任兼政策法规局局长
2001.01—2001.02,中组部干部一局局长
2001.02—2003.12,中组部部务委员（副部长级）兼干部一局局长
2003.12—2007.07,中央政府驻港联络办副主任
2007.07—2009.05,中央政府驻港联络办副主任
2009.05—2012.12,中央政府驻港联络办主任
2012.12—2013.01,广西壮族自治区党委书记
2013.01—2013.05,广西壮族自治区党委书记、自治区人大常委会主任、党组书记
2013.05—2016.01,广西壮族自治区党委书记、自治区人大常委会主任、党组书记、广西军区党委第一书记 
2016.01—,广西壮族自治区党委书记、自治区人大常委会主任、广西军区党委第一书记、中国共产党第十七届、十八届、十九届中央委员会委员、第十一届全国人大代表、党的十九大代表、广西壮族自治区第十二届人大代表、广西总河长
