time,position
1974.10—1977.12,江西省乐安县鹏州公社小曹大队知青
1977.12—1978.03,江西华东地勘局261大队工人
1978.03—1982.02,江西冶金学院机械系冶金机械专业学习
1982.02—1986.08,上海宝钢总厂初轧厂机动科助工、工程组组长
1986.08—1988.03,上海宝钢总厂初轧厂机动科副科长
1988.03—1989.01,上海宝钢总厂初轧厂厂长助理
1989.01—1992.07,上海宝钢总厂冷轧厂副厂长
1992.07—1993.07,上海宝钢总厂冷轧厂厂长
1993.07—1994.02,上海宝钢总厂厂长助理兼冷轧厂厂长
1994.02—1995.10,宝山钢铁（集团）公司副总经理
1995.10—1998.01,宝山钢铁（集团）公司副总经理、党委常委
1998.01—1998.11,宝山钢铁（集团）公司常务副总经理、党委常委
1998.11—2001.03,上海宝钢集团公司董事、副总经理、党委委员
2001.03—2004.12,上海宝钢集团公司董事、副总经理、党委常委
2004.12—2005.10,上海宝钢集团公司董事、总经理、党委常委
2005.10—2007.01,宝钢集团有限公司董事、总经理、党委常委
2007.01—2014.01,宝钢集团有限公司董事长、党委常委
2014.01—2016.10,宝钢集团有限公司董事长、党委书记
2016.10—2016.12,待安排
2016.12—2017.04,工业和信息化部副部长、党组成员
2017.04—2017.07,中央统战部副部长、中华全国工商业联合会党组书记
2017.07—,中央统战部副部长、中华全国工商业联合会党组书记、常务副主席（正部长级）、中国民间商会副会长、中国共产党第十七届、十八届中央委员会候补委员、中国共产党第十九届中央委员会委员、党的十九大代表。
