time,position
1980.09—1984.09,吉林工业大学计算机科学与工程系计算机应用专业学习；
1984.09—1987.09,哈尔滨工业大学电气工程系模式识别与智能控制专业硕士研究生；
1987.09—1994.06,北京航空航天大学计算机系教师；
1994.06—1997.06,北京航空航天大学计算机系副主任；
1997.06—2000.12,北京航空航天大学计算机系主任；
2000.12—2003.01,北京航空航天大学党委副书记、副校长；
2003.01—2003.04,北京航空航天大学党委常委、副校长；
2003.04—2009.05,北京航空航天大学党委常委、常务副校长
2009.05—2015.02,北京航空航天大学党委副书记、校长
2015.02—2016.12,工业和信息化部副部长、党组成员、中央人才工作协调小组成员；
2016.12—2017.08,天津市委副书记；
2017.08—2017.09,中国科学技术协会党组书记；
2017.09—,中国科学技术协会党组书记、常务副主席、书记处第一书记、十二届全国人大代表、中国共产党第十九届中央委员会委员、党的十九大代表
