time,position
1973.12—1975.07,青海省贵德县东沟乡上兰角村知青；
1975.07—1978.10,青海省土产杂品公司团委书记；
1978.10—1982.08,陕西师范大学历史系历史专业学习；
1982.08—1984.04,青海省机床铸造厂办公室干部；
1984.04—1984.09,青海省委干部理论教育讲师团讲师；
1984.09—1986.07,中央党校研究生部中共党史专业学习；
1986.07—1991.03,青海省委干部理论教育讲师团讲师；
1991.03—1994.12,青海省委干部理论教育讲师团副团长；
1994.12—1997.10,青海省委干部理论教育讲师团团长；
1997.10—1999.11,青海省社会科学院副院长；
1999.11—2000.04,青海省委宣传部常务副部长（正厅级）；
2000.04—2001.01,青海省委宣传部常务副部长（正厅级）、西宁市委副书记；
2001.01—2002.05,青海省委宣传部部长；
2002.05—2009.10,青海省委常委、宣传部部长；
2009.10—2014.01,中共中央党史研究室副主任
2014.01—,中共中央党史研究室主任
