time,position
1972—1975, 上海市静安区饮食公司前进饮食店职工、向阳中心店党支部副书记、公司团委副书记
1975—1979, 上海市卫生局后方卫生处政工组负责人
1979—1983, 华东政法学院法律专业学习
1983—1986, 华东政法学院国际法系国际法专业硕士研究生
1986—1986, 华东政法学院国际法系教师、系负责人
1986—1995, 华东政法学院国际法系副主任、主任、讲师、副教授、教授
1995—1997, 华东政法学院党委副书记、常务副院长
1997—1999, 华东政法学院院长、党委副书记
1999—2002, 最高人民法院副院长、党组成员、审判委员会委员、国家法官学院院长、党委书记、二级大法官
2002—2003, 最高人民法院副院长、党组副书记（正部长级）、审判委员会委员、国家法官学院院长、党委书记、一级大法官
2003—2008, 最高人民法院副院长、党组副书记（正部长级）、审判委员会委员、一级大法官
2008—, 最高人民检察院检察长、党组书记、检察委员会委员、首席大检察官、中国共产党第十六届中央委员会候补委员、中国共产党第十七届、十八届、十九届中央委员会委员、党的十九大代表
