time,position
1974—1976,　安徽省凤阳县大庙公社东陵大队知青
1976—1978,　安徽省凤阳县大庙公社大庙大队党支部书记
1978—1982,　北京大学法律系学习、校学生会负责人
1982—1983,　北京大学团委书记、共青团中央常委
1983—1983,　共青团中央学校部部长兼全国学联秘书长
1983—1985,　共青团中央书记处候补书记
1985—1993,　共青团中央书记处书记兼全国青联副主席
1993—1998,　共青团中央书记处第一书记兼中国青、政治学院院长
1988—1994,  北京大学经济学院经济学专业在职研究生学习、获经济学硕士、博士学位
1998—1999,　河南省委副书记、代省长
1999—2002,　河南省委副书记、省长
2002—2003,　河南省委书记、省长
2003—2004,　河南省委书记、省人大常委会主任
2004—2005,　辽宁省委书记
2005—2007,　辽宁省委书记、省人大常委会主任
2007—2008,　中央政治局常委
2008—2013,　中央政治局常委、国务院副总理、党组副书记
2013—,　中央政治局常委、国务院总理、党组书记
