time,position
1980.09—1984.07,在华北水利水电学院水利水电工程建筑系水利水电工程建筑专业学习；
1984.07—1987.03,水利部黄河水利委员会勘测规划设计院规划处规划一室技术员；
1987.03—1991.05,水利部黄河水利委员会勘测规划设计院规划处规划一室副主任、综合规划室主任；
1991.05—1992.08,水利部黄河水利委员会勘测规划设计院规划一处副处长；
1992.08—1994.05,水利部黄河水利委员会勘测规划设计院规划一处处长；
1994.05—1995.05,水利部总工程师助理；
1995.05—1995.10,水利部副总工程师；
1995.10—1997.05,水利部副总工程师兼黄河小浪底水利枢纽建设管理局副局长、党委委员；
1997.05—1998.09,水利部黄河水利委员会副主任、党组成员兼黄河小浪底水利枢纽建设管理局副局长、党委委员；
1998.09—1999.05,水利部总工程师；
1999.05—1999.08,黑龙江省水利厅党组书记；
1999.08—2001.05,黑龙江省水利厅厅长、党组书记；
2001.05—2011.03,黄河水利委员会主任、党组书记（副部长级）
2011.03—2015.07,水利部副部长、党组成员；[
2015.07—2015.08,安徽省委副书记；
2015.08—2016.08,安徽省委副书记、省委党校校长（兼）；
2016.08—2016.09,安徽省委副书记、省委党校校长（兼）、省人民政府党组书记；
2016.09—2016.11,安徽省委副书记、省委党校校长（兼）、省人民政府副省长、代理省长、党组书记；
2016.11—2017.01,安徽省委副书记、省人民政府副省长、代理省长、党组书记；
2017.01—,安徽省委副书记、省人民政府省长、党组书记
