time,position
1978.10—1982.08,华北电力学院电力工程系发电厂及电力系统专业学习；
1982.08—1989.08,电力科学研究院系统所技术员、助理工程师、工程师
1989.08—1990.08,电力科学研究院计划经营处副处长；
1990.08—1991.10,电力科学研究院电力技术经济研究所所长
1991.10—1993.06,华能国际电力开发公司总经理助理；
1993.06—1994.06,华能国际电力开发公司副总经理、分党组成员；
1994.06—1995.10,华能国际电力开发公司副总经理、分党组成员兼华能国际电力股份有限公司董事、副总经理；
1995.10—1996.03,华能国际电力开发公司副董事长、总经理、分党组成员兼华能国际电力股份有限公司副董事长、总经理；
1996.03—1999.03,华能国际电力开发公司副董事长、总经理、党组副书记兼华能国际电力股份有限公司副董事长、总经理；
1999.03—1999.12,华能国际电力开发公司董事长、总经理、党组书记兼华能国际电力股份有限公司董事长、总经理；
1999.12—2001.12,中国华能集团公司董事、总经理、党组书记兼华能国际电力开发公司董事长、总经理、华能国际电力股份有限公司董事长、党组书记；
2001.12—2002.12,国家电力公司副总经理、党组成员兼中国华能集团公司董事长、总经理、党组书记、华能国际电力开发公司董事长、总经理、华能国际电力股份有限公司董事长、党组书记
2002.12—2008.05,中国华能集团公司总经理、党组书记兼华能国际电力开发公司董事长、华能国际电力股份有限公司董事长、党组书记
2008.05—2008.06,山西省委常委；
2008.06—2010.06,山西省委常委、副省长；
2010.06—2012.12,山西省委常委、副省长、省政府党组副书记、山西行政学院院长；
2012.12—2013.01,山西省委副书记、代省长、省政府党组书记、山西行政学院院长；
2013.01—2016.08,山西省委副书记、省长、省政府党组书记 
2016.08—2016.09,交通运输部党组副书记；
2016.09—,交通运输部部长、党组副书记
