time,position
1975—1976,甘肃省两当县云屏公社知青
1976—1978,甘肃省两当县文教局、县委办公室干事
1978—1982,西北师范学院中文系汉语言文学专业学习
1982—1985,甘肃省委宣传部秘书处干事
1985—1986,甘肃省委办公厅副处级秘书
1986—1987,甘肃省委组织部组织处副处级组织员
1987—1990,甘肃省委组织部干部调配处副处长
1990—1995,甘肃省委组织部正处级组织员、省委知识分子工作办公室副主任、省委组织部党政干部处处长
1995—1996,甘肃省兰州市西固区委书记
1996—1999,甘肃省兰州市委常委、组织部部长
1999—2001,甘肃省兰州市委副书记、组织部部长
2001—2002,甘肃省张掖地委书记
2002—2004,甘肃省张掖市委书记
2004—2004,甘肃省委秘书长
2004—2006,陕西省委常委、秘书长
2006—2011,陕西省委常委、延安市委书记
2011—2013,上海市委常委、组织部部长
2013—2014,上海市委副书记、中国浦东干部学院理事会副理事长、第一副院长
2014—2015,辽宁省委副书记、代省长、省长
2015—2017,辽宁省委书记、省人大常委会主任 
2017—2017,中央政治局委员、辽宁省委书记、省人大常委会主任
2017—, 中央政治局委员、广东省委书记、辽宁省人大常委会主任
