time,position
1976—1977,浙江省瑞安县马屿区机电排灌站职工
1977—1978,浙江省瑞安县工具三厂职工
1978—1982,浙江农业大学宁波分校农机系农机化专业学习
1982—1983,浙江省瑞安县莘塍区团委负责人
1983—1984,共青团浙江省瑞安县委干部
1984—1984,共青团浙江省瑞安县委书记
1984—1985,浙江省民政厅农村救济处干部
1985—1988,浙江省民政厅农村救济处副处长
1988—1990,浙江省民政厅农村救济处处长
1990—1991,浙江省民政厅救灾救济处处长
1991—1992,浙江省民政厅党组成员、人事处处长
1992—1996,浙江省民政厅副厅长、党组成员
1996—1998,浙江省金华市委常委、永康市委书记
1995—1997,浙江大学研究生课程进修班管理工程专业学习
1998—1998,浙江省金华市委常委、永康市委书记、市人大常委会主任
1998—2000,浙江省政府办公厅副主任、党组成员
2000—2002,浙江省工商行政管理局局长、党委书记
2002—2003,浙江省温州市委书记
2003—2004,浙江省温州市委书记、市人大常委会主任
2001—2004,中央党校在职研究生班世界经济专业学习
2004—2005,浙江省委秘书长
2005—2011,浙江省委常委、秘书长
2003—2005,香港理工大学管理学院工商管理专业学习、获高级管理人员工商管理硕士学位
2011—2012,浙江省委副书记、秘书长、政法委书记
2012—2012,浙江省委副书记、政法委书记
2012—2013,浙江省委副书记、代省长
2013—2016,浙江省委副书记、省长
2016—2017,江苏省委书记
2017—2017.2,江苏省委书记、省人大常委会主任
2017.2—2017.6,中央政治局委员、江苏省委书记、省人大常委会主任
2017.6—,　中央政治局委员、上海市委书记、江苏省人大常委会主任
