time,position
1974.07—1978.03,长春市教育学院教师；
1978.03—1982.01,在吉林大学经济系政治经济学专业学习；
1982.01—1984.11,长春市委宣传部理论处干事；
1984.11—1986.04,任长春市委讲师团副主任；
1986.04—1990.02,任长春市委宣传部副部长兼市社科联副主席、市委讲师团副主任；
1990.02—1991.12, 任吉林省社会科学院副院长；
1991.12—1994.03,任中共长春市二道河子区委书记（挂职）；
1994.03—1998.10,任吉林省计划委员会副主任；
1998.10—2000.12,任吉林省体改委主任、党组书记、吉林省政府体改办主任、党组书记；
2000.12—2001.09,吉林省省长助理、省政府党组成员、省政府体改办主任、党组书记；
2001.09—2007.07,任吉林省副省长、吉林省委常委、副省长；
2007.07—2008.03,任国家人口计生委党组书记、副主任；
2008.03—2011.12,任国家人口计生委主任、党组书记；
2011.12—2012.02,任安徽省委副书记、副省长、代省长；
2012.02—2013.03,任安徽省委副书记、省长；
2013.03—, 任国家卫生和计划生育委员会主任、党组书记。
