time,position
1972.12—1974.11,上海重型机器厂技校锻压专业学习
1974.11—1978.11,上海重型机器厂干部、团委副书记
1978.11—1982.09,中央组织部研究室干部
1982.09—1984.07,北京大学国际政治系政治学专业干部专修科学习
1984.07—1988.03,中央组织部研究室干部、副处级调研员
1988.03—1992.01,监察部办公厅综合处副处长、处长
1992.01—1993.01,监察部办公厅副局级监察专员
1993.01—1993.04,中央纪委监察综合室副局级检查员、监察专员
1993.04—1996.01,中央纪委监察综合室副主任
1996.01—1999.06,中央纪委监察综合室正局级检查员、监察专员兼副主任
1999.06—2001.04,中央纪委监察综合室主任
2001.04—2002.12,中央纪委副秘书长兼监察综合室主任
2002.12—2007.10,监察部副部长
2007.10—2007.12,中央纪委副书记、监察部副部长
2007.12—2014.10,中央纪委副书记
2014.10—2014.12,中华全国总工会党组书记
2014.12—,中华全国总工会党组书记、副主席、书记处第一书记
