time,position
1976.11―1979.08,广西大学中文系文学创作专业学习
1979.08―1980.09,广西壮族自治区贵县文工团、文化局干部
1980.09―1983.11,广西壮族自治区贵县县委宣传部新闻干事、贵县报社筹备组负责人
1983.11―1985.05,广西壮族自治区贵县瓦塘公社（乡）党委书记
1985.05―1987.09,广西壮族自治区贵县县委副书记
1987.09―1988.06,广西壮族自治区平南县委第一副书记
1988.06―1990.02,广西壮族自治区平南县委书记
1990.02―1991.08,广西壮族自治区桂平县委书记
1991.08―1992.08,广西壮族自治区河池地委副书记、行署副专员
1992.08―1995.02,广西壮族自治区河池地委副书记、行署专员
1995.02―1996.04,广西壮族自治区河池地委书记、行署专员
1996.04―1996.07,广西壮族自治区河池地委书记
1996.07―1997.12,广西壮族自治区玉林地（市）委书记
1997.12―2001.06,广西壮族自治区党委常委、玉林市委书记、市人大常委会主任
2001.06―2001.08,广西壮族自治区党委常委、南宁市委书记
2001.08―2003.04,广西壮族自治区党委常委、南宁市委书记、市人大常委会主任
2003.04―2005.03,广西壮族自治区党委副书记、南宁市委书记、市人大常委会主任
2005.03―2006.07,广西壮族自治区党委副书记
2006.07―2006.11,云南省委副书记
2006.11―2011.08,云南省委副书记、省委党校（云南行政学院）校（院）长
2011.08―2011.11,云南省委副书记、省人民政府副省长、代省长、党组书记、省委党校（云南行政学院）校（院）长
2011.11―2012.02,云南省委副书记、省人民政府副省长、代省长、党组书记
2012.02―2014.10,云南省委副书记、省人民政府省长、党组书记
2014.10―2015.01,云南省委书记、省人大常委会党组书记
2015.01―2016.08,云南省委书记、省人大常委会主任、党组书记
2016.08―2016.09,内蒙古自治区党委书记
2016.09―2017.01,内蒙古自治区党委书记、自治区人大常委会党组书记
2017.01―,内蒙古自治区党委书记、自治区人大常委会主任、党组书记
