time,position
1974.12—1979.01,在吉林省通化市彩印厂参加工作、任政工科干事；
1979.01—1980.07,长春师范学院团委干事；
1980.07—1982.08,在长春师范学院政治历史系历史专业学习；
1982.08—1984.04,吉林省教育厅干事；
1984.04—1985.09,吉林省教育厅人事处副处长；
1985.09—1989.03,吉林省教育委员会干部处副处长；
1989.03—1991.02,吉林省教育委员会干部处处长；
1991.02—1992.09,吉林省教育委员会副主任；
1992.09—1994.03,吉林省长春市委常委、组织部部长；
1994.03—1995.10,吉林省长春市委副书记、组织部部长；
1995.10—1997.10,吉林省长春市委副书记；
1997.10—1997.11,吉林省通化市委副书记；
1997.11—1998.01,吉林省通化市委副书记、副市长、代理市长；
1998.01—2001.07,吉林省通化市委副书记、市长；
2001.07—2002.08,吉林省辽源市委书记；
2002.08—2007.04,吉林省人民政府副省长；
2007.04—2013.04,陕西省委常委、组织部部长；
2013.04—2013.06,安徽省委副书记
2013.06—2015.06,安徽省委副书记、省委党校校长（兼）；
2015.06—2015.07,安徽省委副书记、省人民政府副省长、代理省长、党组书记、省委党校校长（兼）； 
2015.07—2016.08,安徽省委副书记、省人民政府省长、党组书记；
2016.08—2016.09,安徽省委书记、省人民政府省长、省人大常委会主任候选人提名人选、党组书记；
2016.09—2017.01,安徽省委书记、省人大常委会主任候选人提名人选、党组书记；
2017.01—,安徽省委书记、省人大常委会主任、党组书记。
