time,position
1975—1978,　辽宁省沈阳市苏家屯区姚千公社前陡大队插队知青、民兵连长、治保主任、团总支书记、革委会副主任
1978—1982,　吉林大学历史系历史学专业学习
1982—1984,　辽宁省沈阳市政府办公厅秘书处干部
1984—1985,　辽宁省沈阳市政府办公厅公文处理组副组长
1985—1985,　辽宁省委办公厅秘书
1985—1987,　电子工业部办公厅秘书
1987—1988,　电子工业部党组办公室副主任（正处级）
1988—1995,　广东省惠州市副市长（挂职）
1995—2000,　广东省惠州市委副书记、代市长、市长
2000—2001,　广东省惠州市委书记
2001—2002,　广东省副省长
2002—2003,　广东省委常委、副省长
2003—2004,　广东省委常委、深圳市委副书记、代市长
2004—2005,　广东省委常委、深圳市委副书记、市长
2005—2007,　广东省委常委、深圳市委书记、市人大常委会主任
2007—2008,　湖北省委副书记、代省长
2008—2010,　湖北省委副书记、省长
2010—2011,　湖北省委书记
2011—2016,　湖北省委书记、省人大常委会主任
2016—2017,　天津市委书记
2017—,　中央政治局委员、天津市委书记
