time,position
1973.03—1975.07,上海跃进农场工具厂工人、副指导员、党支部副书记；
1975.07—1978.09,上海跃进农场党委委员、综合计划组组长、场党委副书记、场政治处副主任；
1978.09—1981.09,上海市农场局团委副书记；
1981.09—1984.06,上海市农场局团委书记；
1984.06—1985.06,上海市农场局科技处负责人；
1985.06—1990.04,上海市农场局工会副主席；
1990.04—1992.03,上海市农场局党委委员、党政办公室主任；
1992.03—1993.01,上海市松江县委副书记；
1993.01—1998.07,上海市松江县委书记；
1998.07—1999.10,上海市松江区委书记；
1999.10—2003.02,上海市杨浦区委书记；
2003.02—2003.04,上海市委副秘书长、市人民政府副秘书长；
2003.04—2003.08,上海市委副秘书长、市人民政府秘书长、办公厅主任；
2003.08—2004.04,上海市委副秘书长、市人民政府秘书长、市孙中山、宋庆龄文管会主任；
2004.04—2007.12,上海市委常委、浦东新区区委书记；
2007.12—2011.04,黑龙江省委常委、省人民政府副省长；
2011.04—2011.09,黑龙江省委副书记、省人民政府副省长；
2011.09—2012.05,黑龙江省委副书记；
2012.05—2013.03,黑龙江省委副书记、省委政法委书记；
2013.03—2013.04,湖南省委副书记、省人民政府党组书记；
2013.04—2013.05,湖南省委副书记、省人民政府副省长、代理省长、党组书记；
2013.05—2016.08,湖南省委副书记、省人民政府省长、党组书记；
2016.08—2016.09,湖南省委书记、省人民政府省长；
2016.09—2017.01,湖南省委书记；
2017.01—,湖南省委书记、省人大常委会主任。
