time,position
1968—1972,　上海市浦江电表厂工人
1972—1973,　外交部出国学习集训班学习
1973—1975,　英国伊林学院、巴斯大学、伦敦政治经济学院国际关系专业学习
1975—1983,　外交部翻译室科员
1983—1987,　驻美国使馆二秘、一秘、参赞
1987—1990,　外交部翻译室参赞兼处长
1990—1993,　外交部美大司参赞兼处长、副司长
1993—1995,　驻美国使馆公使
1995—1998,　外交部部长助理、党委委员
1998—2000,　外交部副部长、党委委员
2000—2004,　驻美国大使
2004—2005,　外交部副部长、党委委员
2005—2007,　外交部副部长、党委副书记
2001—2006,  南京大学历史学系世界史专业在职研究生学习、获历史学博士学位
2007—2013,　外交部部长、党委副书记
2013—2017,　国务委员、国务院党组成员、中央外事工作领导小组办公室主任、中央国家安全工作领导小组办公室主任、中央维护海洋权益工作领导小组办公室主任
2017—,　中央政治局委员、国务委员、国务院党组成员、中央外事工作领导小组办公室主任、中央维护海洋权益工作领导小组办公室主任
