time,position
1971—1972,河北省石家庄地区财贸学校物价专业学习
1972—1976,河北省石家庄地区商业局办公室干事、副主任
1976—1983,河北省石家庄地委办公室资料科干事、科长
1983—1985,河北省无极县委书记
1985—1986,河北省石家庄地委副书记、行署专员
1986—1990,共青团河北省委书记
1990—1993,河北省承德地委副书记、行署专员
1993—1997,河北省委常委、秘书长
1997—1998,河北省委常委、农村工作领导小组副组长
1998—2000,陕西省委常委、农村工作领导小组副组长、办公室主任
2000—2002,陕西省委常委、组织部部长
2002—2002,陕西省委常委、西安市委书记、市人大常委会主任
2002—2003,陕西省委副书记、西安市委书记、市人大常委会主任
2003—2004,黑龙江省委副书记
2004—2007,黑龙江省委副书记、副省长
2007—2008,黑龙江省委副书记、代省长
2008—2010,黑龙江省委副书记、省长
2010—2012,贵州省委书记、省人大常委会主任
2012—2012,中央办公厅主持常务工作的副主任（正部长级）、中央办公厅主任、中央直属机关工委书记、贵州省人大常委会主任
2012—2014,中央政治局委员、中央书记处书记、中央办公厅主任、中央直属机关工委书记
2014—2017,中央政治局委员、中央书记处书记、中央办公厅主任、中央国家安全委员会办公室主任、中央直属机关工委书记
2017—,中央政治局常委、中央国家安全委员会办公室主任
