time,position
1976.08—1978.03,浙江省浦江县知青
1978.03—1982.01,浙江师范学院数学系数学专业学习
1982.01—1984.02,浙江省龙游县龙游中学教师
1984.02—1986.01,共青团浙江省龙游县委书记
1986.01—1986.11,浙江省龙游县塔石区委书记
1986.11—1987.02,浙江省龙游县委组织部副部长
1987.02—1989.10,浙江省龙游县委常委、宣传部部长
1989.10—1989.11,共青团浙江省衢州市委副书记
1989.11—1991.11,共青团浙江省衢州市委书记
1991.11—1996.01,共青团浙江省委副书记
1996.01—1999.11,共青团浙江省委书记
1999.11—2002.03,浙江省金华市委副书记、政法委书记（正厅级）、市委党校校长
2002.03—2003.02,浙江省金华市委副书记、市长
2003.02—2003.04,浙江省丽水市委书记
2003.04—2006.01,浙江省丽水市委书记、市人大常委会主任
2006.01—2008.01,浙江省丽水市委书记
2008.01—2008.02,浙江省政协副主席、省委统战部部长、丽水市委书记
2008.02—2009.01,浙江省政协副主席、党组副书记、省委统战部部长
2009.01—2010.02,海南省委常委、组织部部长
2010.02—2012.03,海南省委常委、组织部部长、省教育工委书记
2012.03—2012.05,湖北省委常委、组织部部长
2012.05—2014.06,湖北省委常委、组织部部长、省委党校校长
2014.06—2016.08,山西省委副书记、省委党校校长（兼）
2016.08—2016.11,山西省委副书记、代省长、省政府党组书记、省委党校校长（兼）
2016.11—,山西省委副书记、省长、省政府党组书记、党的十五大、十七大、十八大、十九大代表、中国共产党第十九届中央委员会委员、十届、十二届全国人大代表、十一届全国政协委员、山西省总河长、汾河河长
