time,position
1972.01—1976.01, 黑龙江省庆安县民乐乡农村劳动
1976.01—1978.02, 黑龙江省庆安县民乐乡政府经营管理站电管站工作
1978.03—1982.02, 北京大学经济学系学习、获经济学学士学位
1982.02—1984.09, 国家物价局农产品价格司工作
1984.09—1987.08, 国家物价局农产品价格司综合处副处长
1987.08—1989.03, 国家物价局农产品价格司综合处处长
1989.03—1994.03, 国家物价局价格规划司副司长、综合司副司长
1994.03—1995.11, 国家计划委员会价格管理司副司长
1995.11—1996.10, 国家计划委员会收费管理司副司长（主持工作）
1996.10—1998.06, 国家计划委员会工农产品价格管理司司长
1998.06—2001.07, 国家发展计划委员会价格司司长
2001.07—2003.04, 国家发展计划委员会经贸流通司司长
2003.04—2005.09, 国家发展和改革委员会经济贸易司司长
2005.09—2006.01, 国家发展和改革委员会秘书长
2006.01—2006.06, 国家发展和改革委员会副主任、党组成员兼秘书长
2006.06—2008.03, 国家发展和改革委员会副主任、党组成员
2008.03—2015.01, 国务院副秘书长、机关党组成员 
2015.01—, 国家食品药品监督管理总局局长、党组书记
