time,position
1975.07—1979.09,江西省贵溪县新田公社黄墩手工业综合服务厂学徒、黄墩中小学会计、民办教师
1979.09—1981.09,江西省贵溪县第一中学学习
1981.09—1985.09,吉林大学法律系法律专业学习
1985.09—1987.07,北京大学法律系法学理论专业研究生
1987.07—1991.01,国务院法制局研究室干部、主任科员
1991.01—1993.08,国务院法制局研究室二处副处长
1993.08—1996.06,国务院法制局办公室研究处处长
1996.06—1997.10,国务院法制局办公室副主任
1997.10—1998.08,国务院法制局办公室主任
1998.08—1999.06,国务院法制办公室秘书行政司（研究司）副司长（主持工作）、机关党委副书记
1999.06—2001.07,国务院法制办公室秘书行政司（研究司）司长、机关党委副书记 
2001.07—2003.06,国务院法制办公室党组成员、秘书行政司（研究司）司长、机关党委副书记
2003.06—2004.12,国务院法制办公室副主任、党组成员兼秘书行政司（研究司）司长、机关党委副书记
2004.12—2008.01,国务院法制办公室副主任、党组成员兼机关党委书记
2008.01—2012.06,国务院副秘书长、国务院机关党组成员
2012.06—2012.08,中央国家机关工委副书记（主持常务工作、正部长级）
2012.08—2012.11,中央国家机关工委副书记（主持常务工作、正部长级）兼中央国家机关党校校长、中央党校中央国家机关分校校长
2012.11—2013.04,中央机构编制委员会委员、办公室主任
2013.04—,中央政法委员会委员、秘书长、国务院副秘书长、机关党组成员
