time,position
1972—1976,　安徽省宿县地区食品厂工人、车间负责人
1976—1979,　安徽省宿县地区“五七”干校教员、教研室副主任、校党委委员
1979—1980,　中央党校理论宣传干部班政治经济学专业学习
1980—1981,　安徽省宿县地委党校教员
1981—1982,　共青团安徽省宿县地委副书记
1982—1983,　共青团安徽省委宣传部部长
1983—1984,　共青团安徽省委副书记
1984—1987,　安徽省体委副主任、党组副书记
1987—1988,　安徽省体委主任、党组书记
1988—1992,　安徽省铜陵市委副书记、代市长、市长
1992—1993,　安徽省计委主任、党组书记、省长助理
1993—1993,　安徽省副省长
1993—1998,　安徽省委常委、副省长
1998—1999,　安徽省委副书记、副省长
1999—2003,　国家发展计划委员会副主任、党组成员
2003—2005,　国务院副秘书长（负责国务院办公厅常务工作、正部长级）、机关党组副书记
2005—2006,　重庆市委书记
2006—2007,　重庆市委书记、市人大常委会主任
2007—2007,　中央政治局委员、重庆市委书记、市人大常委会主任
2007—2012,　中央政治局委员、广东省委书记
2012—2013,　中央政治局委员
2013—2017,　中央政治局委员、国务院副总理、党组成员
2017—　, 中央政治局常委、国务院副总理、党组成员
