time,position
1979.09—1984.09,温州医学院儿科系儿科专业学习
1984.09—1987.07,温州医学院儿科系儿科专业硕士研究生学习
1987.07—1987.11,浙江医科大学附属第一医院住院医师
1987.11—1988.02,温州医学院儿科系助教
1988.02—1991.02,上海第二医科大学儿科系儿童保健学专业博士研究生学习
1991.02—1996.05,上海第二医科大学附属新华医院儿科医学研究所主治医师、副研究员、副教授
1996.05—1998.07,上海儿童医学中心研究员、教授、副院长、常务副院长
1998.07—2003.03,上海第二医科大学附属新华医院副院长、院长、上海儿童医学中心院长
2003.03—2005.07,上海第二医科大学校长
2005.07—2006.02,上海交通大学常务副校长兼医学院院长
2006.02—2006.04,上海市科教工作党委副书记、市教委党组书记、上海交通大学常务副校长
2006.04—2008.01,上海市科教工作党委副书记、市教委主任
2008.01—2013.05,上海市副市长、上海张江高新技术开发区管委会主任
2013.05—2013.06,上海市副市长、浦东新区区委书记
2013.06—2015.03,上海市委常委、浦东新区区委书记
2015.03—2016.09,上海市委常委、浦东新区区委书记、中国（上海）自由贸易试验区管理委员会主任
2016.09—2017.03,教育部副部长、党组副书记
2017.03—2017.04,海南省委副书记
2017.04—2017.05,海南省委副书记、省政府代省长、党组书记
2017.05—,海南省委副书记、省政府省长、党组书记、中国共产党第十九届中央委员会委员、党的十九大代表。
