time,position
1971.12—1976.02,西藏民族学院语文系语文（藏文）专业学习
1976.02—1979.06,西藏民族学院医务系、马列教研室教师
1979.06—1984.05,西藏民族学院团委副书记
1984.05—1986.12,西藏民族学院团委书记
1986.12—1992.11,共青团西藏自治区委员会书记
1992.11—1995.06,西藏自治区那曲地委副书记、行署专员
1995.06—1995.09,西藏自治区拉萨市委副书记
1995.09—1996.05,西藏自治区拉萨市委副书记、代市长
1996.05—2003.01,西藏自治区拉萨市委副书记、市长
2003.01—2006.10,西藏自治区政府副主席
2006.10—2007.01,西藏自治区党委常委、统战部部长、区政府副主席
2007.01—2010.05,西藏自治区党委常委、统战部部长、区政协党组副书记、副主席
2010.05—2010.07,西藏自治区党委常委、统战部部长、区政府党组副书记、常务副主席、区政协副主席
2010.07—2010.09,西藏自治区党委常委、统战部部长、区政府党组副书记、常务副主席
2010.09—2011.11,西藏自治区党委常委、政法委副书记、区政府党组副书记、常务副主席
2011.11—2012.04,西藏自治区党委常委、政法委常务副书记、区政府党组副书记、常务副主席
2012.04—2012.12,西藏自治区党委常委、区政府党组副书记、常务副主席 
2012.12—2013.01,西藏自治区党委副书记、区政府党组副书记、常务副主席
2013.01—2016.12,西藏自治区党委副书记、区政府党组书记、主席
2016.12—2017.01,西藏自治区党委副书记、区人大常委会党组书记、区政府主席
2017.01—,西藏自治区党委副书记、区人大常委会主任、党组书记、中国共产党第十八届中央委员会候补委员、中国共产党第十八届中央委员会第七次全体会议递补为中央委员会委员、中国共产党第十九届中央委员会委员、党的十八大、十九大代表、十二届全国人大代表
