time,position
1975.04—1978.03,北京平谷县镇罗营大队插队；
1978.03—1981.12,大连海运学院（大连海事大学）学习；
1981.12—1984.01,中国远洋运输总公司、交通部海上运输高级法院筹备组干部；
1984.01—2004.03,中央组织部经济干部局、中央机关干部局、经济科教干部局干部、经济科教干部局二处副处级调研员、二处副处长、二处处长、副局级调研员、副局长、企业干部办公室副主任、干部四局局长、中央组织部人才工作机构筹备组长；
2004.03—2006.03,中央组织部人才工作局长、中央人才工作协调小组办公室主任；
2006.03—2006.09,湖北省委组织部部长；
2006.09—2008.03,湖北省委常委、组织部部长；
2008.03—2010.05,湖北省委常委、组织部部长、省委党校校长、湖北行政学院院长；
2010.06—2013.03,中央组织部部务委员、干部二局（地方干部局）局长；
2013.03—2013.05,中央组织部副部长；
2013.05—2016.06,中央组织部副部长、兼任人力资源社会保障部副部长、党组成员；
2016.06—2016.08,全国政协机关党组副书记（正部长级） 
2016.08—,十二届全国政协常务副秘书长、机关党组副书记（正部长级）
