time,position
1981.07—1982.09,陕西省西安市旅游供应公司干部；
1982.09—1984.07,陕西省财贸管理干部学院贸易经济系企业管理专业学习；
1984.07—1987.07,陕西省西安市政府财贸办综合业务处、市委财贸部政策检查处干部、副主任科员；
1987.07—1989.08,陕西省西安市委办公厅秘书处秘书（副处级）；
1989.08—1991.07,陕西省西安市工商行政管理局政研室主任、政策法规处处长；
1991.07—1996.05,陕西省西安市工商行政管理局副局长、党组成员；
1996.05—1998.02,陕西省西安市工商行政管理局党委副书记、局长；
1998.02—2001.01,陕西省工商行政管理局局长、党组书记；
2001.01—2003.01,陕西省渭南市委副书记、市长、市政府党组书记；
2003.01—2004.07,陕西省铜川市委书记；
2004.07—2013.04,国家工商行政管理总局副局长、党组成员；
2013.04—2016.09,天津市委副书记；
2016.09—2016.11,天津市委副书记、代市长、市政府党组书记； 
2016.11—2017.10,天津市委副书记、市长、市政府党组书记；
2017.10—,河北省委书记
