time,position
1975.08—1978.03,辽宁省桓仁县华尖子公社知青、东卜大队党支部书记
1978.03—1982.02,辽宁大学哲学系哲学专业学习
1982.02—1982.06,辽宁省委党校青训班学习
1982.06—1983.06,辽宁省锦州市太和区西郊公社党委副书记
1983.06—1985.03,共青团辽宁省锦州市委书记
1985.03—1988.03,辽宁省绥中县委副书记（正县级）
1988.03—1991.01,辽宁省绥中县委书记
1991.01—1993.02,辽宁省灯塔县委书记
1993.02—1993.05,辽宁省辽阳市副市长
1993.05—1994.04,辽宁省辽阳市委常委、副市长
1994.04—1996.12,辽宁省委组织部副部长（1996.01主持常务工作）
1996.12—1997.11,辽宁省委组织部部长
1997.11—2000.10,辽宁省委常委、组织部部长
2000.10—2002.08,中央组织部部务委员兼干部二局局长
2002.08—2003.04,中央组织部副部长
2003.04—2007.07,中央组织部副部长、中央保健委员会副主任、国家国防动员委员会委员（2003.05）、中央保密委员会委员（2007.06）
2007.07—2012.11,中央机构编制委员会委员、办公室主任、中央社会治安综合治理委员会（2011.08更名为中央社会管理综合治理委员会）委员、中央保健委员会副主任（2008.01免）、国家国防动员委员会委员（2008.05免）、中央保密委员会委员（2007.10免）、中央农村工作领导小组成员（2007.12）、国家信息化领导小组成员（2007.12）
2012.11—2013.01,四川省委书记
2013.01—,四川省委书记、省人大常委会主任
